CIS	CISLabel	BN	BNlabel	NIMED	UCD13
CIS64893386	NIFEDIPINE SANDOZ L.P. 30 mg, comprimé pelliculé à libération prolongée	http://www.romedi.fr/romedi/BNneh56ivsnj5884roe52jfkiobg8tdu35	NIFEDIPINE	23121	3400892877990
CIS65904960	NIFEDIPINE RANBAXY L.P. 30 mg, comprimé pelliculé à libération prolongée	http://www.romedi.fr/romedi/BNneh56ivsnj5884roe52jfkiobg8tdu35	NIFEDIPINE	23317	3400892947181
CIS67866775	TENORDATE, gélule	http://www.romedi.fr/romedi/BNc162k10csliq0q18mf5598plrqvp4cu1	TENORDATE	1313	3400891311693
CIS68540330	NIFEDIPINE RPG LP 20 mg, comprimé enrobé à libération prolongée	http://www.romedi.fr/romedi/BNneh56ivsnj5884roe52jfkiobg8tdu35	NIFEDIPINE	9672	3400891795493
CIS69805340	CHRONADALATE L.P. 30 mg, comprimé osmotique pelliculé à libération prolongée	http://www.romedi.fr/romedi/BNbr3n1ga0ru7m6tu7ucmqs4aaumanr2m7	CHRONADALATE	8106	3400891593112
CIS66932763	NIFEDIPINE ARROW L.P. 30 mg, comprimé pelliculé à libération prolongée	http://www.romedi.fr/romedi/BNneh56ivsnj5884roe52jfkiobg8tdu35	NIFEDIPINE	22925	3400892766140
CIS66702214	ATENOLOL/NIFEDIPINE MYLAN 50 mg/20 mg, gélule	http://www.romedi.fr/romedi/BNdn0mohptm2v5nvqh0fo3do0orl690clb	ATENOLOL/NIFEDIPINE	31933	3400894220275
CIS66663373	ATENOLOL/NIFEDIPINE BIOGARAN 50 mg/20 mg, gélule	http://www.romedi.fr/romedi/BNdn0mohptm2v5nvqh0fo3do0orl690clb	ATENOLOL/NIFEDIPINE	32309	3400894244288
CIS61355763	LANGORAN L.P. 40 mg, gélule à libération prolongée	http://www.romedi.fr/romedi/BN1vb8fkeeisvekd1ntkf9i5vo0ir7c6gh	LANGORAN	233	3400890496346
CIS60619306	MONICOR L P 40 mg, gélule à libération prolongée	http://www.romedi.fr/romedi/BN2aajas7ok7vlfp8b87j60fjnu7fguhj7	MONICOR	464	3400891243826
CIS60144966	MONICOR L.P. 60 mg, gélule à libération prolongée	http://www.romedi.fr/romedi/BN2aajas7ok7vlfp8b87j60fjnu7fguhj7	MONICOR	506	3400891254013
CIS60172339	ISOCARD, solution sublinguale en flacon pulvérisateur	http://www.romedi.fr/romedi/BN479jvj287iui8hs23ojbutd7affjc85j	ISOCARD	215	3400891347593
CIS62973702	MONICOR L.P. 20 mg, gélule à libération prolongée	http://www.romedi.fr/romedi/BN2aajas7ok7vlfp8b87j60fjnu7fguhj7	MONICOR	7150	3400891077513
CIS64822161	RISORDAN 10 mg/10 ml, solution injectable (IV, intracoronaire) en ampoule	http://www.romedi.fr/romedi/BNmoelklhmtr3lse0v2fj8ar835lrbb7m7	RISORDAN	4853	3400890806442
CIS66327091	RISORDAN 20 mg, comprimé sécable	http://www.romedi.fr/romedi/BNmoelklhmtr3lse0v2fj8ar835lrbb7m7	RISORDAN	5301	3400890806732
CIS64766264	ISOSORBIDE MEDISOL 10 mg/10 mL, solution injectable	http://www.romedi.fr/romedi/BNblomv15219hdbbp247vvcnr19htbqmpv	ISOSORBIDE	31236	3400894239376
CIS69131735	LANGORAN L.P. 20 mg, gélule à libération prolongée	http://www.romedi.fr/romedi/BN1vb8fkeeisvekd1ntkf9i5vo0ir7c6gh	LANGORAN	5452	3400890496285
CIS62124478	TERALITHE 250 mg, comprimé sécable	http://www.romedi.fr/romedi/BN3f7u6aega563lkqvs4jk0ru8jsuprfs9	TERALITHE	6488	3400890911221
CIS63672890	LITHIUM OLIGOSOL, solution buvable en ampoule ou en récipient unidose	http://www.romedi.fr/romedi/BNmnjsshtre6bj23jruc1o5k01g48ioono	LITHIUM OLIGOSOL	2829	3400890648752
CIS64598133	LITHIODERM 8 %, gel	http://www.romedi.fr/romedi/BNrfq6799cmm7insecm6egkd4d3qlt100v	LITHIODERM	14397	3400892514888
CIS67292476	TERALITHE LP 400 mg, comprimé sécable à libération prolongée	http://www.romedi.fr/romedi/BN3f7u6aega563lkqvs4jk0ru8jsuprfs9	TERALITHE	8612	3400891693157
CIS61001031	CERNEVIT, poudre pour solution injectable ou pour perfusion	http://www.romedi.fr/romedi/BN5ulnoic0pe6lbu0erf9uckjmibjj6ir6	CERNEVIT	1878	3400891343281
CIS64875192	TARDYFERON B9, comprimé pelliculé	http://www.romedi.fr/romedi/BNp5svrertg9g69jl2p7hvfq0luolounkv	TARDYFERON B9	263	3400891223606
CIS63160388	BEROCCA, comprimé pelliculé	http://www.romedi.fr/romedi/BNqqnfihamaqh91tjgtut9c04ajiav68cr	BEROCCA	32568	3400892372877
CIS64732689	SPECIAFOLDINE 0,4 mg, comprimé	http://www.romedi.fr/romedi/BNgoqucqdecafv2vl0i6n0scmsu1gldkd2	SPECIAFOLDINE	14659	3400892477077
CIS64987202	BEROCCA SANS SUCRE, comprimé effervescent édulcoré à l'aspartam et à l'acésulfame de potassium	http://www.romedi.fr/romedi/BNqqnfihamaqh91tjgtut9c04ajiav68cr	BEROCCA	31788	3400892382982
CIS69630186	SPECIAFOLDINE 5 mg, comprimé	http://www.romedi.fr/romedi/BNgoqucqdecafv2vl0i6n0scmsu1gldkd2	SPECIAFOLDINE	2656	3400890870665
CIS67312509	SOLUVIT, lyophilisat pour usage parentéral	http://www.romedi.fr/romedi/BNsk40co8f3m1cg87kppjpj6hbl991oe07	SOLUVIT	3059	3400891412390
CIS68502917	ACIDE FOLIQUE CCD 0,4 mg, comprimé	http://www.romedi.fr/romedi/BNhifbm2tdk6tmp3ihcmlben5qr3au3h7o	ACIDE FOLIQUE	15674	3400892357560
CIS69448600	ACIDE FOLIQUE CCD 5 mg, comprimé	http://www.romedi.fr/romedi/BNhifbm2tdk6tmp3ihcmlben5qr3au3h7o	ACIDE FOLIQUE	15675	3400892352077
CIS67320915	ACIDE FOLIQUE ARROW 5 mg, comprimé	http://www.romedi.fr/romedi/BNhifbm2tdk6tmp3ihcmlben5qr3au3h7o	ACIDE FOLIQUE	28652	3400893720516
CIS66831230	FERTIFOL 400 microgrammes, comprimé	http://www.romedi.fr/romedi/BNnguvggfmmuod3f2pgv9dltm8hpo3u496	FERTIFOL	31256	3400894260608
CIS69661235	ACIDE FOLIQUE MYLAN 5 mg, comprimé	http://www.romedi.fr/romedi/BNhifbm2tdk6tmp3ihcmlben5qr3au3h7o	ACIDE FOLIQUE	32162	3400894299288
CIS61517592	ARACYTINE 100 mg, poudre et solvant pour solution injectable	http://www.romedi.fr/romedi/BNm34jprd9n3p05m5hvrup73c5u73s6l8d	ARACYTINE	4117	3400890060622
CIS66523859	ARACYTINE 2 g, poudre pour solution pour perfusion (I.V.)	http://www.romedi.fr/romedi/BNm34jprd9n3p05m5hvrup73c5u73s6l8d	ARACYTINE	289	3400891249101
CIS63318475	CYTARABINE ACCORD 100 mg/ml, solution injectable ou pour perfusion	http://www.romedi.fr/romedi/BNnfm9qge3k94lvfia14oip4sg62n62ebs	CYTARABINE	27590	3400893950173
CIS69737206	ARACYTINE 500 mg, poudre pour solution pour perfusion	http://www.romedi.fr/romedi/BNm34jprd9n3p05m5hvrup73c5u73s6l8d	ARACYTINE	6645	3400891230468
CIS69493862	CYTARABINE EG 20 mg/ml, solution injectable	http://www.romedi.fr/romedi/BNnfm9qge3k94lvfia14oip4sg62n62ebs	CYTARABINE	30641	3400893057872
CIS61687452	CHLORHYDRATE DE METHADONE ASSISTANCE PUBLIQUE-HÔPITAUX DE PARIS 20 mg/15 ml, sirop en récipient unidose	http://www.romedi.fr/romedi/BNr4trhf97v7et0p5m6u3idi3b3phrfo7a	CHLORHYDRATE DE METHADONE	8687	3400891715651
CIS61144346	CHLORHYDRATE DE METHADONE ASSISTANCE PUBLIQUE-HOPITAUX DE PARIS 5 mg/3,75 ml, sirop en récipient unidose	http://www.romedi.fr/romedi/BNr4trhf97v7et0p5m6u3idi3b3phrfo7a	CHLORHYDRATE DE METHADONE	282	3400891715712
CIS61610484	CHLORHYDRATE DE METHADONE ASSISTANCE PUBLIQUE - HOPITAUX DE PARIS 60 mg/15 ml, sirop en récipient unidose	http://www.romedi.fr/romedi/BNr4trhf97v7et0p5m6u3idi3b3phrfo7a	CHLORHYDRATE DE METHADONE	8912	3400891784619
CIS63644827	CHLORHYDRATE DE METHADONE ASSISTANCE PUBLIQUE - HOPITAUX DE PARIS 40 mg/15 ml, sirop en récipient unidose	http://www.romedi.fr/romedi/BNr4trhf97v7et0p5m6u3idi3b3phrfo7a	CHLORHYDRATE DE METHADONE	8911	3400891784558
CIS60998856	METHADONE AP-HP 10 mg, gélule	http://www.romedi.fr/romedi/BN32c3fsb4jp06nvortn8dcsrv6ihjj2o8	METHADONE	23733	3400893101568
CIS63009443	METHADONE AP-HP 20 mg, gélule	http://www.romedi.fr/romedi/BN32c3fsb4jp06nvortn8dcsrv6ihjj2o8	METHADONE	23734	3400893101629
CIS65738008	METHADONE AP-HP 40 mg, gélule	http://www.romedi.fr/romedi/BN32c3fsb4jp06nvortn8dcsrv6ihjj2o8	METHADONE	23735	3400893101797
CIS68874401	CHLORHYDRATE DE METHADONE ASSISTANCE PUBLIQUE-HÔPITAUX DE PARIS 10 mg/7,5 ml, sirop en récipient unidose	http://www.romedi.fr/romedi/BNr4trhf97v7et0p5m6u3idi3b3phrfo7a	CHLORHYDRATE DE METHADONE	8686	3400891715590
CIS67255773	METHADONE AP-HP 1,33 mg/ml, sirop	http://www.romedi.fr/romedi/BN32c3fsb4jp06nvortn8dcsrv6ihjj2o8	METHADONE	14119	3400892316529
CIS67296909	METHADONE AP-HP 1 mg, gélule	http://www.romedi.fr/romedi/BN32c3fsb4jp06nvortn8dcsrv6ihjj2o8	METHADONE	23732	3400893101339
CIS68726979	METHADONE AP-HP 5 mg, gélule	http://www.romedi.fr/romedi/BN32c3fsb4jp06nvortn8dcsrv6ihjj2o8	METHADONE	23736	3400893101858
CIS62311321	ZECLAR 50 mg/ml, granulés pour suspension buvable	http://www.romedi.fr/romedi/BN16t52acmt98ijc3kl9ldmdeljgs6t9hu	ZECLAR	12951	3400892199870
CIS63671347	ZECLAR 250 mg, comprimé pelliculé	http://www.romedi.fr/romedi/BN16t52acmt98ijc3kl9ldmdeljgs6t9hu	ZECLAR	2694	3400891513677
CIS62901197	ZECLAR 25 mg/ml, granulés pour suspension buvable	http://www.romedi.fr/romedi/BN16t52acmt98ijc3kl9ldmdeljgs6t9hu	ZECLAR	11205	3400892035840
CIS64635578	CLARITHROMYCINE BIPHAR 500 mg, comprimé pelliculé	http://www.romedi.fr/romedi/BNg15bb7o96tr0jv187b7lvu5gfhehtddi	CLARITHROMYCINE	9982	3400891801910
CIS61433564	ZECLAR 0,5 g, poudre pour solution pour perfusion	http://www.romedi.fr/romedi/BN16t52acmt98ijc3kl9ldmdeljgs6t9hu	ZECLAR	13748	3400892298047
CIS60814021	CLARITHROMYCINE ARROW 500 mg, comprimé pelliculé	http://www.romedi.fr/romedi/BNg15bb7o96tr0jv187b7lvu5gfhehtddi	CLARITHROMYCINE	23628	3400893065457
CIS61594165	CLARITHROMYCINE MYLAN 50 mg/ml, granulés pour suspension buvable	http://www.romedi.fr/romedi/BNg15bb7o96tr0jv187b7lvu5gfhehtddi	CLARITHROMYCINE	22267	3400893145043
CIS61904023	CLARITHROMYCINE MYLAN 500 mg, comprimé pelliculé	http://www.romedi.fr/romedi/BNg15bb7o96tr0jv187b7lvu5gfhehtddi	CLARITHROMYCINE	22268	3400893065228
CIS65040811	CLARITHROMYCINE ARROW 50 mg/ml, granulés pour suspension buvable	http://www.romedi.fr/romedi/BNg15bb7o96tr0jv187b7lvu5gfhehtddi	CLARITHROMYCINE	23819	3400893144091
CIS65326798	CLARITHROMYCINE SANDOZ 50 mg/ml, granulés pour suspension buvable	http://www.romedi.fr/romedi/BNg15bb7o96tr0jv187b7lvu5gfhehtddi	CLARITHROMYCINE	23825	3400893145272
CIS65576684	CLARITHROMYCINE SANDOZ 500 mg, comprimé pelliculé	http://www.romedi.fr/romedi/BNg15bb7o96tr0jv187b7lvu5gfhehtddi	CLARITHROMYCINE	23630	3400893065808
CIS65880178	CLARITHROMYCINE MYLAN 25 mg/ml, granulés pour suspension buvable	http://www.romedi.fr/romedi/BNg15bb7o96tr0jv187b7lvu5gfhehtddi	CLARITHROMYCINE	22265	3400893144961
CIS62901197	ZECLAR 25 mg/ml, granulés pour suspension buvable	http://www.romedi.fr/romedi/BN16t52acmt98ijc3kl9ldmdeljgs6t9hu	ZECLAR	27909	3400893871300
CIS62311321	ZECLAR 50 mg/ml, granulés pour suspension buvable	http://www.romedi.fr/romedi/BN16t52acmt98ijc3kl9ldmdeljgs6t9hu	ZECLAR	27929	3400893984352
CIS65133607	CLARITHROMYCINE BIPHAR 25 mg/ml, granulés pour suspension buvable	http://www.romedi.fr/romedi/BNg15bb7o96tr0jv187b7lvu5gfhehtddi	CLARITHROMYCINE	27933	3400893936917
CIS67997205	ZECLAR 500 mg, comprimé pelliculé	http://www.romedi.fr/romedi/BN16t52acmt98ijc3kl9ldmdeljgs6t9hu	ZECLAR	8878	3400891713640
CIS66840375	MONOZECLAR 500 mg, comprimé pelliculé à libération modifiée	http://www.romedi.fr/romedi/BNvtp89m5u5le86j27oa4905k5a8rk42il	MONOZECLAR	15166	3400892754314
CIS69837295	CLARITHROMYCINE MYLAN PHARMA 500 mg, comprimé pelliculé à libération modifiée	http://www.romedi.fr/romedi/BNg15bb7o96tr0jv187b7lvu5gfhehtddi	CLARITHROMYCINE	15165	3400892744728
CIS67197409	CLARITHROMYCINE MYLAN 250 mg, comprimé pelliculé	http://www.romedi.fr/romedi/BNg15bb7o96tr0jv187b7lvu5gfhehtddi	CLARITHROMYCINE	22266	3400893065167
CIS68129222	CLARITHROMYCINE SANDOZ 25 mg/ml, granulés pour suspension buvable	http://www.romedi.fr/romedi/BNg15bb7o96tr0jv187b7lvu5gfhehtddi	CLARITHROMYCINE	23824	3400893145104
CIS68879206	CLARITHROMYCINE ARROW 250 mg, comprimé pelliculé	http://www.romedi.fr/romedi/BNg15bb7o96tr0jv187b7lvu5gfhehtddi	CLARITHROMYCINE	23627	3400893065396
CIS69468962	CLARITHROMYCINE SANDOZ 250 mg, comprimé pelliculé	http://www.romedi.fr/romedi/BNg15bb7o96tr0jv187b7lvu5gfhehtddi	CLARITHROMYCINE	23629	3400893065747
CIS69340610	CLARITHROMYCINE MYLAN PHARMA 250 mg, comprimé pelliculé	http://www.romedi.fr/romedi/BNg15bb7o96tr0jv187b7lvu5gfhehtddi	CLARITHROMYCINE	27888	3400893300060
CIS69875082	CLARITHROMYCINE ARROW 25 mg/ml, granulés pour suspension buvable	http://www.romedi.fr/romedi/BNg15bb7o96tr0jv187b7lvu5gfhehtddi	CLARITHROMYCINE	23818	3400893143902
CIS61752409	RAPAMUNE 1 mg/ml, solution buvable	http://www.romedi.fr/romedi/BNmh4o65ugpbk7bj9chlupgrcd8kkg2879	RAPAMUNE	13720	3400892288161
CIS64597615	RAPAMUNE 1 mg, comprimé enrobé	http://www.romedi.fr/romedi/BNmh4o65ugpbk7bj9chlupgrcd8kkg2879	RAPAMUNE	13919	3400892380803
CIS65164182	RAPAMUNE 2 mg, comprimé enrobé	http://www.romedi.fr/romedi/BNmh4o65ugpbk7bj9chlupgrcd8kkg2879	RAPAMUNE	14121	3400892460857
CIS69171174	RAPAMUNE 0,5 mg, comprimé enrobé	http://www.romedi.fr/romedi/BNmh4o65ugpbk7bj9chlupgrcd8kkg2879	RAPAMUNE	25755	3400893539934
CIS60705552	OROKEN NOURRISSONS 40 mg/5 ml, poudre pour suspension buvable en flacon	http://www.romedi.fr/romedi/BNja8rvsq26412go8q0m8udoctr8jik1o1	OROKEN	8110	3400891631524
CIS60762126	CEFIXIME ZENTIVA 200 mg, comprimé pelliculé	http://www.romedi.fr/romedi/BNta1noekb72vqbmuqpjggvojmrbgd54r0	CEFIXIME	23931	3400893231821
CIS63309743	CEFIXIME BIOGARAN 200 mg, comprimé pelliculé	http://www.romedi.fr/romedi/BNta1noekb72vqbmuqpjggvojmrbgd54r0	CEFIXIME	23574	3400893045237
CIS64821860	CEFIXIME ALMUS 200 mg, comprimé pelliculé	http://www.romedi.fr/romedi/BNta1noekb72vqbmuqpjggvojmrbgd54r0	CEFIXIME	29283	3400893054222
CIS60237790	CEFIXIME ARROW 200 mg, comprimé pelliculé	http://www.romedi.fr/romedi/BNta1noekb72vqbmuqpjggvojmrbgd54r0	CEFIXIME	24003	3400893286760
CIS62217516	CEFIXIME MYLAN PHARMA 200 mg, comprimé pelliculé	http://www.romedi.fr/romedi/BNta1noekb72vqbmuqpjggvojmrbgd54r0	CEFIXIME	30826	3400894103721
CIS67393849	OROKEN 200 mg, comprimé pelliculé	http://www.romedi.fr/romedi/BNja8rvsq26412go8q0m8udoctr8jik1o1	OROKEN	1908	3400891347944
CIS66907450	OROKEN ENFANTS 100 mg/5 ml, poudre pour suspension buvable en flacon	http://www.romedi.fr/romedi/BNja8rvsq26412go8q0m8udoctr8jik1o1	OROKEN	8109	3400891631463
CIS69038035	CEFIXIME MYLAN 200 mg, comprimé pelliculé	http://www.romedi.fr/romedi/BNta1noekb72vqbmuqpjggvojmrbgd54r0	CEFIXIME	22261	3400893162941
CIS69100387	CEFIXIME EG 200 mg, comprimé pelliculé	http://www.romedi.fr/romedi/BNta1noekb72vqbmuqpjggvojmrbgd54r0	CEFIXIME	23929	3400893231531
CIS69995637	CEFIXIME TEVA 200 mg, comprimé pelliculé	http://www.romedi.fr/romedi/BNta1noekb72vqbmuqpjggvojmrbgd54r0	CEFIXIME	23887	3400893190685
CIS67490967	CEFIXIME ARROW LAB 200 mg, comprimé pelliculé	http://www.romedi.fr/romedi/BNta1noekb72vqbmuqpjggvojmrbgd54r0	CEFIXIME	32978	3400894405801
CIS68809147	CEFIXIME CRISTERS 200 mg, comprimé pelliculé	http://www.romedi.fr/romedi/BNta1noekb72vqbmuqpjggvojmrbgd54r0	CEFIXIME	33041	3400894383994
CIS60420681	PERIKABIVEN, émulsion pour perfusion	http://www.romedi.fr/romedi/BNc9pj5ei2i8svsu7ai0t05u5cjp249t10	PERIKABIVEN	14054	3400892299167
CIS60447372	OLICLINOMEL N 6-900 E, émulsion pour perfusion	http://www.romedi.fr/romedi/BNg6r5tfiljhmfjhcrjj83o9sqteth9bnt	OLICLINOMEL	15540	3400892282138
CIS61117445	CLINIMIX N9 G15 E, solution pour perfusion en poche bicompartiment	http://www.romedi.fr/romedi/BNj6ambsbuk5nf03vhr758pfdjlas4gqla	CLINIMIX N9 G15 E	22646	3400892358390
CIS61117445	CLINIMIX N9 G15 E, solution pour perfusion en poche bicompartiment	http://www.romedi.fr/romedi/BNj6ambsbuk5nf03vhr758pfdjlas4gqla	CLINIMIX N9 G15 E	22649	3400892358680
CIS61684869	PERIOLIMEL N4E, émulsion pour perfusion	http://www.romedi.fr/romedi/BN2hvh4n1jg77bc8vljvn1edatgmqoqn8g	PERIOLIMEL N4E	22477	3400893181690
CIS61684869	PERIOLIMEL N4E, émulsion pour perfusion	http://www.romedi.fr/romedi/BN2hvh4n1jg77bc8vljvn1edatgmqoqn8g	PERIOLIMEL N4E	24861	3400893181751
CIS61684869	PERIOLIMEL N4E, émulsion pour perfusion	http://www.romedi.fr/romedi/BN2hvh4n1jg77bc8vljvn1edatgmqoqn8g	PERIOLIMEL N4E	24049	3400893181812
CIS60420681	PERIKABIVEN, émulsion pour perfusion	http://www.romedi.fr/romedi/BNc9pj5ei2i8svsu7ai0t05u5cjp249t10	PERIKABIVEN	21672	3400893171127
CIS60420681	PERIKABIVEN, émulsion pour perfusion	http://www.romedi.fr/romedi/BNc9pj5ei2i8svsu7ai0t05u5cjp249t10	PERIKABIVEN	25049	3400893171295
CIS60420681	PERIKABIVEN, émulsion pour perfusion	http://www.romedi.fr/romedi/BNc9pj5ei2i8svsu7ai0t05u5cjp249t10	PERIKABIVEN	25050	3400893171356
CIS62201138	OLIMEL N7E, émulsion pour perfusion	http://www.romedi.fr/romedi/BN4b6iqvv0779um313pmviv1bq271ajnn0	OLIMEL N7E	22419	3400893180570
CIS62201138	OLIMEL N7E, émulsion pour perfusion	http://www.romedi.fr/romedi/BN4b6iqvv0779um313pmviv1bq271ajnn0	OLIMEL N7E	22461	3400893180631
CIS62201138	OLIMEL N7E, émulsion pour perfusion	http://www.romedi.fr/romedi/BN4b6iqvv0779um313pmviv1bq271ajnn0	OLIMEL N7E	24862	3400893180860
CIS61786735	AMINOMIX 500, solution pour perfusion	http://www.romedi.fr/romedi/BNgjji9l4ndnlu4k83063ebu4sji7rteea	AMINOMIX	23244	3400892926070
CIS61786735	AMINOMIX 500, solution pour perfusion	http://www.romedi.fr/romedi/BNgjji9l4ndnlu4k83063ebu4sji7rteea	AMINOMIX	23245	3400892926131
CIS63337059	KABIVEN, émulsion pour perfusion	http://www.romedi.fr/romedi/BNk0204cbhkmeda7avv78f0sl03v7i944r	KABIVEN	25045	3400893170755
CIS63337059	KABIVEN, émulsion pour perfusion	http://www.romedi.fr/romedi/BNk0204cbhkmeda7avv78f0sl03v7i944r	KABIVEN	25046	3400893170816
CIS65418143	MEDNUTRIFLEX LIPIDE G 120/N 5,4/E, émulsion pour perfusion	http://www.romedi.fr/romedi/BNc0p9njph6tmrsjvtohs0fj1pijnoltc2	MEDNUTRIFLEX LIPIDE	21715	3400893098226
CIS65418143	MEDNUTRIFLEX LIPIDE G 120/N 5,4/E, émulsion pour perfusion	http://www.romedi.fr/romedi/BNc0p9njph6tmrsjvtohs0fj1pijnoltc2	MEDNUTRIFLEX LIPIDE	24872	3400893098394
CIS66286011	AMINOMIX 500 E, solution pour perfusion	http://www.romedi.fr/romedi/BN4qc42ces5mlat0t15dq5fqa3ds0i0q5d	AMINOMIX E	23247	3400892926421
CIS66286011	AMINOMIX 500 E, solution pour perfusion	http://www.romedi.fr/romedi/BN4qc42ces5mlat0t15dq5fqa3ds0i0q5d	AMINOMIX E	23248	3400892926599
CIS66286011	AMINOMIX 500 E, solution pour perfusion	http://www.romedi.fr/romedi/BN4qc42ces5mlat0t15dq5fqa3ds0i0q5d	AMINOMIX E	23249	3400892926650
CIS66067708	AMINOMIX 800 E, solution pour perfusion	http://www.romedi.fr/romedi/BN4qc42ces5mlat0t15dq5fqa3ds0i0q5d	AMINOMIX E	21044	3400892926711
CIS66067708	AMINOMIX 800 E, solution pour perfusion	http://www.romedi.fr/romedi/BN4qc42ces5mlat0t15dq5fqa3ds0i0q5d	AMINOMIX E	22163	3400892926889
CIS66067708	AMINOMIX 800 E, solution pour perfusion	http://www.romedi.fr/romedi/BN4qc42ces5mlat0t15dq5fqa3ds0i0q5d	AMINOMIX E	22164	3400892926940
CIS66032721	OLIMEL N9E, émulsion pour perfusion	http://www.romedi.fr/romedi/BNs1hqdepjslh83fgk7fga0t0v1dplcq1n	OLIMEL N9E	24864	3400893181232
CIS66032721	OLIMEL N9E, émulsion pour perfusion	http://www.romedi.fr/romedi/BNs1hqdepjslh83fgk7fga0t0v1dplcq1n	OLIMEL N9E	24824	3400893181461
CIS66032721	OLIMEL N9E, émulsion pour perfusion	http://www.romedi.fr/romedi/BNs1hqdepjslh83fgk7fga0t0v1dplcq1n	OLIMEL N9E	24865	3400893181522
CIS62217480	REANUTRIFLEX OMEGA G 144/N 8/E, émulsion pour perfusion	http://www.romedi.fr/romedi/BN61agg1b4i9mc4i6c168lg9rojk29q6md	REANUTRIFLEX	25736	3400893681732
CIS62217480	REANUTRIFLEX OMEGA G 144/N 8/E, émulsion pour perfusion	http://www.romedi.fr/romedi/BN61agg1b4i9mc4i6c168lg9rojk29q6md	REANUTRIFLEX	25737	3400893681961
CIS62427265	SMOFKABIVEN E, émulsion pour perfusion	http://www.romedi.fr/romedi/BNqksuq97mo78c3gkau5a4rnbb9lvlh4bj	SMOFKABIVEN E	25038	3400893312766
CIS62427265	SMOFKABIVEN E, émulsion pour perfusion	http://www.romedi.fr/romedi/BNqksuq97mo78c3gkau5a4rnbb9lvlh4bj	SMOFKABIVEN E	22470	3400893312827
CIS62427265	SMOFKABIVEN E, émulsion pour perfusion	http://www.romedi.fr/romedi/BNqksuq97mo78c3gkau5a4rnbb9lvlh4bj	SMOFKABIVEN E	25035	3400893312995
CIS62427265	SMOFKABIVEN E, émulsion pour perfusion	http://www.romedi.fr/romedi/BNqksuq97mo78c3gkau5a4rnbb9lvlh4bj	SMOFKABIVEN E	24729	3400893313077
CIS63163224	PEDIAVEN AP-HP NOUVEAU-NE 2, solution pour perfusion	http://www.romedi.fr/romedi/BN1qh9hjpr1sl7tdahoip7dsi8f1q6vjmc	PEDIAVEN	25239	3400893604151
