diseaseWikidata	label	wikidata
Q844590	psychiatrie	Q7867
Q845224	psychiatrie	Q7867
Q845787	psychiatrie	Q7867
Q860740	psychiatrie	Q7867
Q861560	psychiatrie	Q7867
Q630090	génétique	Q7162
Q1262684	génétique	Q7162
Q83030	psychiatrie	Q7867
Q105434	psychiatrie	Q7867
Q118418	psychiatrie	Q7867
Q131749	psychiatrie	Q7867
Q131755	psychiatrie	Q7867
Q144119	psychiatrie	Q7867
Q152100	psychiatrie	Q7867
Q160796	psychiatrie	Q7867
Q161790	psychiatrie	Q7867
Q170082	psychiatrie	Q7867
Q174589	psychiatrie	Q7867
Q175854	psychiatrie	Q7867
Q177190	psychiatrie	Q7867
Q178059	psychiatrie	Q7867
Q178190	psychiatrie	Q7867
Q180913	psychiatrie	Q7867
Q181923	psychiatrie	Q7867
Q182413	psychiatrie	Q7867
Q183548	psychiatrie	Q7867
Q183560	psychiatrie	Q7867
Q184674	psychiatrie	Q7867
Q188611	psychiatrie	Q7867
Q188638	psychiatrie	Q7867
Q202387	psychiatrie	Q7867
Q207791	psychiatrie	Q7867
Q208166	psychiatrie	Q7867
Q209522	psychiatrie	Q7867
Q209647	psychiatrie	Q7867
Q212021	psychiatrie	Q7867
Q231578	psychiatrie	Q7867
Q245590	psychiatrie	Q7867
Q268594	psychiatrie	Q7867
Q270673	psychiatrie	Q7867
Q8388	psychiatrie	Q7867
Q8392	psychiatrie	Q7867
Q11072	psychiatrie	Q7867
Q12135	psychiatrie	Q7867
Q18654	psychiatrie	Q7867
Q18657	psychiatrie	Q7867
Q18671	psychiatrie	Q7867
Q41112	psychiatrie	Q7867
Q42844	psychiatrie	Q7867
Q43405	psychiatrie	Q7867
Q8388	psychologie	Q9418
Q8392	psychologie	Q9418
Q18657	psychologie	Q9418
Q18671	psychologie	Q9418
Q93333268	neurologie	Q83042
Q93346177	neurologie	Q83042
Q98416014	neurologie	Q83042
Q58833962	neurologie	Q83042
Q54932066	neurologie	Q83042
Q54932081	neurologie	Q83042
Q54932084	neurologie	Q83042
Q54943919	neurologie	Q83042
Q54943954	neurologie	Q83042
Q54944161	neurologie	Q83042
Q54944911	neurologie	Q83042
Q54945855	neurologie	Q83042
Q54945930	neurologie	Q83042
Q54945966	neurologie	Q83042
Q54946033	neurologie	Q83042
Q54947033	neurologie	Q83042
Q54947378	neurologie	Q83042
Q54971494	neurologie	Q83042
Q54972151	neurologie	Q83042
Q54972453	neurologie	Q83042
Q54974104	neurologie	Q83042
Q54974116	neurologie	Q83042
Q54974218	neurologie	Q83042
Q54974239	neurologie	Q83042
Q55082183	neurologie	Q83042
Q55082232	neurologie	Q83042
Q55082332	neurologie	Q83042
Q55082490	neurologie	Q83042
Q55083510	neurologie	Q83042
Q55092798	neurologie	Q83042
Q55092825	neurologie	Q83042
Q55093271	neurologie	Q83042
Q55093306	neurologie	Q83042
Q55785927	neurologie	Q83042
Q2844600	neurologie	Q83042
Q1670952	neurologie	Q83042
Q1712213	neurologie	Q83042
Q1741331	neurologie	Q83042
Q1756659	neurologie	Q83042
Q1756898	neurologie	Q83042
Q1781515	neurologie	Q83042
Q1781802	neurologie	Q83042
Q1783645	neurologie	Q83042
Q1788314	neurologie	Q83042
Q1815019	neurologie	Q83042
Q1815985	neurologie	Q83042
Q1821559	neurologie	Q83042
Q1848471	neurologie	Q83042
Q1860507	neurologie	Q83042
Q1869874	neurologie	Q83042
Q1876206	neurologie	Q83042
Q1881388	neurologie	Q83042
Q1892153	neurologie	Q83042
Q1916182	neurologie	Q83042
Q1919487	neurologie	Q83042
Q1920586	neurologie	Q83042
Q1935832	neurologie	Q83042
Q1947307	neurologie	Q83042
Q1948740	neurologie	Q83042
Q1968751	neurologie	Q83042
Q1978084	neurologie	Q83042
Q1987592	neurologie	Q83042
Q1995327	neurologie	Q83042
Q2028015	neurologie	Q83042
Q2031871	neurologie	Q83042
Q2044949	neurologie	Q83042
Q2058432	neurologie	Q83042
Q2060353	neurologie	Q83042
Q2067267	neurologie	Q83042
Q2070842	neurologie	Q83042
Q2103933	neurologie	Q83042
Q2115771	neurologie	Q83042
Q2140130	neurologie	Q83042
Q2199494	neurologie	Q83042
Q2246789	neurologie	Q83042
Q2248721	neurologie	Q83042
Q2279175	neurologie	Q83042
Q2280285	neurologie	Q83042
Q2280546	neurologie	Q83042
Q2291130	neurologie	Q83042
Q2295338	neurologie	Q83042
Q2303951	neurologie	Q83042
Q2307256	neurologie	Q83042
Q2308013	neurologie	Q83042
Q2310947	neurologie	Q83042
Q2325854	neurologie	Q83042
Q2346396	neurologie	Q83042
Q2346415	neurologie	Q83042
Q2346980	neurologie	Q83042
Q2349546	neurologie	Q83042
Q2356131	neurologie	Q83042
Q2362826	neurologie	Q83042
Q2395215	neurologie	Q83042
Q2397106	neurologie	Q83042
Q2484592	neurologie	Q83042
Q2561844	neurologie	Q83042
Q2608695	neurologie	Q83042
Q2628677	neurologie	Q83042
Q2632848	neurologie	Q83042
Q2666433	neurologie	Q83042
Q2669284	neurologie	Q83042
Q2681162	neurologie	Q83042
Q2697371	neurologie	Q83042
Q2730080	neurologie	Q83042
Q54927530	neurologie	Q83042
Q54927621	neurologie	Q83042
Q54927701	neurologie	Q83042
Q54928207	neurologie	Q83042
Q54930744	neurologie	Q83042
Q54931551	neurologie	Q83042
Q54931978	neurologie	Q83042
Q54932054	neurologie	Q83042
Q18555950	ophtalmologie	Q161437
Q18556331	ophtalmologie	Q161437
Q18556413	ophtalmologie	Q161437
Q18557300	ophtalmologie	Q161437
Q18557950	ophtalmologie	Q161437
Q18558195	ophtalmologie	Q161437
Q67959679	ophtalmologie	Q161437
Q50349814	ophtalmologie	Q161437
Q50357588	ophtalmologie	Q161437
Q54911717	ophtalmologie	Q161437
Q54928062	ophtalmologie	Q161437
Q54943954	ophtalmologie	Q161437
Q54947136	ophtalmologie	Q161437
Q54971415	ophtalmologie	Q161437
Q54973095	ophtalmologie	Q161437
Q55082311	ophtalmologie	Q161437
Q55082349	ophtalmologie	Q161437
Q55082490	ophtalmologie	Q161437
Q55093051	ophtalmologie	Q161437
Q50936730	ophtalmologie	Q161437
Q29982071	ophtalmologie	Q161437
Q21110016	ophtalmologie	Q161437
Q54087187	ophtalmologie	Q161437
Q27429789	ophtalmologie	Q161437
Q18554057	neurologie	Q83042
Q18554068	neurologie	Q83042
Q18554072	neurologie	Q83042
Q18554077	neurologie	Q83042
Q18554084	neurologie	Q83042
Q18554091	neurologie	Q83042
Q18554088	neurologie	Q83042
Q18554094	neurologie	Q83042
Q18554095	neurologie	Q83042
Q18554092	neurologie	Q83042
Q18554099	neurologie	Q83042
Q18554096	neurologie	Q83042
Q18554102	neurologie	Q83042
Q18554103	neurologie	Q83042
Q18554106	neurologie	Q83042
Q18554105	neurologie	Q83042
Q18554110	neurologie	Q83042
Q18554111	neurologie	Q83042
Q18554108	neurologie	Q83042
Q18554109	neurologie	Q83042
Q18554115	neurologie	Q83042
Q18554116	neurologie	Q83042
Q18554139	neurologie	Q83042
Q18554142	neurologie	Q83042
Q18554143	neurologie	Q83042
Q18554144	neurologie	Q83042
Q18554163	neurologie	Q83042
Q18554164	neurologie	Q83042
Q18554170	neurologie	Q83042
Q18554171	neurologie	Q83042
Q18554169	neurologie	Q83042
Q18554175	neurologie	Q83042
Q18554172	neurologie	Q83042
Q18554183	neurologie	Q83042
Q18554191	neurologie	Q83042
Q18554189	neurologie	Q83042
Q18554198	neurologie	Q83042
Q18554199	neurologie	Q83042
Q18554196	neurologie	Q83042
Q18554202	neurologie	Q83042
Q18554203	neurologie	Q83042
Q18554201	neurologie	Q83042
Q18554205	neurologie	Q83042
Q18554211	neurologie	Q83042
Q18554230	neurologie	Q83042
Q18554228	neurologie	Q83042
Q18554235	neurologie	Q83042
Q18554239	neurologie	Q83042
Q18554242	neurologie	Q83042
Q18554243	neurologie	Q83042
Q18554251	neurologie	Q83042
Q18554249	neurologie	Q83042
Q18554255	neurologie	Q83042
Q18554252	neurologie	Q83042
Q18554253	neurologie	Q83042
Q18554259	neurologie	Q83042
Q18554256	neurologie	Q83042
Q18554257	neurologie	Q83042
Q18554266	neurologie	Q83042
Q18554291	neurologie	Q83042
Q18554289	neurologie	Q83042
Q18554293	neurologie	Q83042
Q18554303	neurologie	Q83042
Q18554306	neurologie	Q83042
Q18554307	neurologie	Q83042
Q18554305	neurologie	Q83042
Q18554310	neurologie	Q83042
Q18554311	neurologie	Q83042
Q18554308	neurologie	Q83042
Q18554309	neurologie	Q83042
Q18554312	neurologie	Q83042
Q18554318	neurologie	Q83042
Q18554319	neurologie	Q83042
Q18554316	neurologie	Q83042
Q18554327	neurologie	Q83042
Q18554330	neurologie	Q83042
Q18554331	neurologie	Q83042
Q18554334	neurologie	Q83042
Q18554332	neurologie	Q83042
Q18554333	neurologie	Q83042
Q18554339	neurologie	Q83042
Q18554346	neurologie	Q83042
Q18554359	neurologie	Q83042
Q18554357	neurologie	Q83042
Q18554360	neurologie	Q83042
Q18554370	neurologie	Q83042
Q18554368	neurologie	Q83042
Q18554375	neurologie	Q83042
Q18554383	neurologie	Q83042
Q18554384	neurologie	Q83042
Q18554408	neurologie	Q83042
Q18554414	neurologie	Q83042
Q18554415	neurologie	Q83042
Q18554423	neurologie	Q83042
Q18554420	neurologie	Q83042
Q18554421	neurologie	Q83042
Q18554431	neurologie	Q83042
Q18554429	neurologie	Q83042
Q18554438	neurologie	Q83042
Q18554437	neurologie	Q83042
Q27674799	gastro-entérologie	Q120569
Q27674802	gastro-entérologie	Q120569
Q27674800	gastro-entérologie	Q120569
Q27674801	gastro-entérologie	Q120569
Q27674806	gastro-entérologie	Q120569
Q27674807	gastro-entérologie	Q120569
Q27674804	gastro-entérologie	Q120569
Q27674805	gastro-entérologie	Q120569
Q27674811	gastro-entérologie	Q120569
Q27674808	gastro-entérologie	Q120569
Q27674809	gastro-entérologie	Q120569
Q54911721	gastro-entérologie	Q120569
Q54911777	gastro-entérologie	Q120569
Q54931334	gastro-entérologie	Q120569
Q54943978	gastro-entérologie	Q120569
Q54946093	gastro-entérologie	Q120569
Q54947288	gastro-entérologie	Q120569
Q54971712	gastro-entérologie	Q120569
Q54972345	gastro-entérologie	Q120569
Q54974362	gastro-entérologie	Q120569
Q586009	oncologie	Q162555
Q589612	oncologie	Q162555
Q591256	oncologie	Q162555
Q604075	oncologie	Q162555
Q609503	oncologie	Q162555
Q612093	oncologie	Q162555
Q612108	oncologie	Q162555
Q623031	oncologie	Q162555
Q623668	oncologie	Q162555
Q631904	oncologie	Q162555
Q654485	oncologie	Q162555
Q681817	oncologie	Q162555
Q725345	oncologie	Q162555
Q729735	oncologie	Q162555
Q738170	oncologie	Q162555
Q756289	oncologie	Q162555
Q770843	oncologie	Q162555
Q774016	oncologie	Q162555
Q783644	oncologie	Q162555
Q785827	oncologie	Q162555
Q786852	oncologie	Q162555
Q809758	oncologie	Q162555
Q825923	oncologie	Q162555
Q826522	oncologie	Q162555
Q827497	oncologie	Q162555
Q852423	oncologie	Q162555
Q861028	oncologie	Q162555
Q864296	oncologie	Q162555
Q870891	oncologie	Q162555
Q881855	oncologie	Q162555
Q885574	oncologie	Q162555
Q912796	oncologie	Q162555
Q60456290	gastro-entérologie	Q120569
Q56014520	gastro-entérologie	Q120569
Q56014549	gastro-entérologie	Q120569
Q56603543	gastro-entérologie	Q120569
Q62019625	gastro-entérologie	Q120569
Q58833942	gastro-entérologie	Q120569
Q58833976	gastro-entérologie	Q120569
Q58845312	gastro-entérologie	Q120569
Q63762876	gastro-entérologie	Q120569
Q55083259	gastro-entérologie	Q120569
Q55083550	gastro-entérologie	Q120569
Q55093014	gastro-entérologie	Q120569
Q55093134	gastro-entérologie	Q120569
Q55093289	gastro-entérologie	Q120569
Q201299	oncologie	Q162555
Q208414	oncologie	Q162555
Q209369	oncologie	Q162555
Q212961	oncologie	Q162555
Q223911	oncologie	Q162555
Q233309	oncologie	Q162555
Q246070	oncologie	Q162555
Q256806	oncologie	Q162555
Q264118	oncologie	Q162555
Q268713	oncologie	Q162555
Q268832	oncologie	Q162555
Q324464	oncologie	Q162555
Q337585	oncologie	Q162555
Q356005	oncologie	Q162555
Q356033	oncologie	Q162555
Q356058	oncologie	Q162555
Q356372	oncologie	Q162555
Q369148	oncologie	Q162555
Q369157	oncologie	Q162555
Q372701	oncologie	Q162555
Q374036	oncologie	Q162555
Q379054	oncologie	Q162555
Q423965	oncologie	Q162555
Q459896	oncologie	Q162555
Q460556	oncologie	Q162555
Q460937	oncologie	Q162555
Q461857	oncologie	Q162555
Q474254	oncologie	Q162555
Q475086	oncologie	Q162555
Q475260	oncologie	Q162555
Q484827	oncologie	Q162555
Q486090	oncologie	Q162555
Q486092	oncologie	Q162555
Q499857	oncologie	Q162555
Q500695	oncologie	Q162555
Q504775	oncologie	Q162555
Q536269	oncologie	Q162555
Q539681	oncologie	Q162555
Q548070	oncologie	Q162555
Q549534	oncologie	Q162555
Q556281	oncologie	Q162555
Q570875	oncologie	Q162555
Q574694	oncologie	Q162555
Q581592	oncologie	Q162555
Q2785159	immunologie	Q101929
Q3043158	immunologie	Q101929
Q3043160	immunologie	Q101929
Q3508566	immunologie	Q101929
Q3508681	immunologie	Q101929
Q3740609	immunologie	Q101929
Q3775784	immunologie	Q101929
Q3801600	immunologie	Q101929
Q3832899	immunologie	Q101929
Q3843811	immunologie	Q101929
Q3931183	immunologie	Q101929
Q4413030	immunologie	Q101929
Q4651855	immunologie	Q101929
Q4651856	immunologie	Q101929
Q5013186	immunologie	Q101929
Q609675	immunologie	Q101929
Q630090	immunologie	Q101929
Q644318	immunologie	Q101929
Q674461	immunologie	Q101929
Q681160	immunologie	Q101929
Q707816	immunologie	Q101929
Q745162	immunologie	Q101929
Q769815	immunologie	Q101929
Q911427	immunologie	Q101929
Q5405504	immunologie	Q101929
Q942926	immunologie	Q101929
Q953638	immunologie	Q101929
Q958797	immunologie	Q101929
Q1035319	immunologie	Q101929
Q1055374	immunologie	Q101929
Q1072290	immunologie	Q101929
Q1087632	immunologie	Q101929
Q1151300	immunologie	Q101929
Q1154422	immunologie	Q101929
Q5629813	immunologie	Q101929
Q1161568	immunologie	Q101929
Q1334408	immunologie	Q101929
Q1345792	immunologie	Q101929
Q5898315	immunologie	Q101929
Q1472818	immunologie	Q101929
Q5958765	immunologie	Q101929
Q6058506	immunologie	Q101929
Q1594599	immunologie	Q101929
Q1617658	immunologie	Q101929
Q1622407	immunologie	Q101929
Q6132707	immunologie	Q101929
Q1754830	immunologie	Q101929
Q1778287	immunologie	Q101929
Q1790371	immunologie	Q101929
Q1934069	immunologie	Q101929
Q1947302	immunologie	Q101929
Q6489151	immunologie	Q101929
Q2086442	immunologie	Q101929
Q2165663	immunologie	Q101929
Q2259421	immunologie	Q101929
Q2336873	immunologie	Q101929
Q2348506	immunologie	Q101929
Q2373361	immunologie	Q101929
Q19000444	psychologie	Q9418
Q28823477	psychologie	Q9418
Q7256482	psychologie	Q9418
Q7574983	psychologie	Q9418
Q17077617	psychologie	Q9418
Q18555117	psychologie	Q9418
Q5282510	psychologie	Q9418
Q2538477	pédiatrie	Q123028
Q2694437	pédiatrie	Q123028
Q3241451	pédiatrie	Q123028
Q4731121	pédiatrie	Q123028
Q4761649	pédiatrie	Q123028
Q5160416	pédiatrie	Q123028
Q5413808	pédiatrie	Q123028
Q1918881	pédiatrie	Q123028
Q2076966	pédiatrie	Q123028
Q2099138	pédiatrie	Q123028
Q2163245	pédiatrie	Q123028
Q127664	pédiatrie	Q123028
Q176741	pédiatrie	Q123028
Q210427	pédiatrie	Q123028
Q221472	pédiatrie	Q123028
Q351708	pédiatrie	Q123028
Q469490	pédiatrie	Q123028
Q558077	pédiatrie	Q123028
Q560337	pédiatrie	Q123028
Q594013	pédiatrie	Q123028
Q596474	pédiatrie	Q123028
Q625506	pédiatrie	Q123028
Q743545	pédiatrie	Q123028
Q754348	pédiatrie	Q123028
Q836356	pédiatrie	Q123028
Q837054	pédiatrie	Q123028
Q861845	pédiatrie	Q123028
Q917357	pédiatrie	Q123028
Q922640	pédiatrie	Q123028
Q1072716	pédiatrie	Q123028
Q1137767	pédiatrie	Q123028
Q1140000	pédiatrie	Q123028
Q1263039	pédiatrie	Q123028
Q1343645	pédiatrie	Q123028
Q1409160	pédiatrie	Q123028
Q1424612	pédiatrie	Q123028
Q1544408	pédiatrie	Q123028
Q1671598	pédiatrie	Q123028
Q1712331	pédiatrie	Q123028
Q1755487	pédiatrie	Q123028
Q1779987	pédiatrie	Q123028
Q1641132	cardiologie	Q10379
Q1641399	cardiologie	Q10379
Q1649897	cardiologie	Q10379
Q1683689	cardiologie	Q10379
Q1725245	cardiologie	Q10379
Q1729124	cardiologie	Q10379
Q1737261	cardiologie	Q10379
Q1757915	cardiologie	Q10379
Q1758283	cardiologie	Q10379
Q1762339	cardiologie	Q10379
Q1778287	cardiologie	Q10379
Q1780241	cardiologie	Q10379
Q1790371	cardiologie	Q10379
Q1798016	cardiologie	Q10379
Q1823656	cardiologie	Q10379
Q1878741	cardiologie	Q10379
Q1951267	cardiologie	Q10379
Q2003151	cardiologie	Q10379
Q2031871	cardiologie	Q10379
Q599683	cardiologie	Q10379
Q616087	cardiologie	Q10379
Q616088	cardiologie	Q10379
Q620760	cardiologie	Q10379
Q653924	cardiologie	Q10379
Q685594	cardiologie	Q10379
Q688949	cardiologie	Q10379
Q707774	cardiologie	Q10379
Q707837	cardiologie	Q10379
Q735652	cardiologie	Q10379
Q746001	cardiologie	Q10379
Q753904	cardiologie	Q10379
Q757749	cardiologie	Q10379
Q773118	cardiologie	Q10379
Q815819	cardiologie	Q10379
Q840004	cardiologie	Q10379
Q840646	cardiologie	Q10379
Q844935	cardiologie	Q10379
Q847583	cardiologie	Q10379
Q848662	cardiologie	Q10379
Q860167	cardiologie	Q10379
Q925092	cardiologie	Q10379
Q929313	cardiologie	Q10379
Q938991	cardiologie	Q10379
Q939364	cardiologie	Q10379
Q987319	cardiologie	Q10379
Q988405	cardiologie	Q10379
Q1022718	cardiologie	Q10379
Q1035226	cardiologie	Q10379
Q1044007	cardiologie	Q10379
Q1053824	cardiologie	Q10379
Q1088042	cardiologie	Q10379
Q1097957	cardiologie	Q10379
Q1128595	cardiologie	Q10379
Q1131786	cardiologie	Q10379
Q1258666	cardiologie	Q10379
Q1306218	cardiologie	Q10379
Q1361515	cardiologie	Q10379
Q1364270	cardiologie	Q10379
Q1431933	cardiologie	Q10379
Q1444550	cardiologie	Q10379
Q1469637	cardiologie	Q10379
Q1484058	cardiologie	Q10379
Q1506572	cardiologie	Q10379
Q1576205	cardiologie	Q10379
Q12152	cardiologie	Q10379
Q52856	cardiologie	Q10379
Q56002	cardiologie	Q10379
Q73518	cardiologie	Q10379
Q82504	cardiologie	Q10379
Q161964	cardiologie	Q10379
Q180375	cardiologie	Q10379
Q184559	cardiologie	Q10379
Q186235	cardiologie	Q10379
Q189331	cardiologie	Q10379
Q190805	cardiologie	Q10379
Q191557	cardiologie	Q10379
Q201180	cardiologie	Q10379
Q202837	cardiologie	Q10379
Q203115	cardiologie	Q10379
Q220570	cardiologie	Q10379
Q266018	cardiologie	Q10379
Q277452	cardiologie	Q10379
Q283656	cardiologie	Q10379
Q300121	cardiologie	Q10379
Q367756	cardiologie	Q10379
Q377978	cardiologie	Q10379
Q382091	cardiologie	Q10379
Q389735	cardiologie	Q10379
Q420915	cardiologie	Q10379
Q501561	cardiologie	Q10379
Q515376	cardiologie	Q10379
Q524353	cardiologie	Q10379
Q531019	cardiologie	Q10379
Q2184368	gastro-entérologie	Q120569
Q2188219	gastro-entérologie	Q120569
Q2300099	gastro-entérologie	Q120569
Q2334877	gastro-entérologie	Q120569
Q2375956	gastro-entérologie	Q120569
Q2453464	gastro-entérologie	Q120569
Q2507106	gastro-entérologie	Q120569
Q2632078	gastro-entérologie	Q120569
Q2637111	gastro-entérologie	Q120569
Q2737426	gastro-entérologie	Q120569
Q2912193	gastro-entérologie	Q120569
Q3009535	gastro-entérologie	Q120569
Q3055380	gastro-entérologie	Q120569
