diseaseUri	CIS	CISLabel
Q41861	CIS66702214	ATENOLOL/NIFEDIPINE MYLAN 50 mg/20 mg, gélule
Q41861	CIS66663373	ATENOLOL/NIFEDIPINE BIOGARAN 50 mg/20 mg, gélule
Q1444550	CIS61355763	LANGORAN L.P. 40 mg, gélule à libération prolongée
Q1444550	CIS60619306	MONICOR L P 40 mg, gélule à libération prolongée
Q1444550	CIS60144966	MONICOR L.P. 60 mg, gélule à libération prolongée
Q1444550	CIS60172339	ISOCARD, solution sublinguale en flacon pulvérisateur
Q1444550	CIS62973702	MONICOR L.P. 20 mg, gélule à libération prolongée
Q1444550	CIS64822161	RISORDAN 10 mg/10 ml, solution injectable (IV, intracoronaire) en ampoule
Q1444550	CIS66327091	RISORDAN 20 mg, comprimé sécable
Q1444550	CIS64766264	ISOSORBIDE MEDISOL 10 mg/10 mL, solution injectable
Q1444550	CIS69131735	LANGORAN L.P. 20 mg, gélule à libération prolongée
Q834047	CIS62124478	TERALITHE 250 mg, comprimé sécable
Q834047	CIS63672890	LITHIUM OLIGOSOL, solution buvable en ampoule ou en récipient unidose
Q834047	CIS64598133	LITHIODERM 8 %, gel
Q834047	CIS67292476	TERALITHE LP 400 mg, comprimé sécable à libération prolongée
Q2070695	CIS61001031	CERNEVIT, poudre pour solution injectable ou pour perfusion
Q2070695	CIS64875192	TARDYFERON B9, comprimé pelliculé
Q2070695	CIS63160388	BEROCCA, comprimé pelliculé
Q2070695	CIS64732689	SPECIAFOLDINE 0,4 mg, comprimé
Q2070695	CIS64987202	BEROCCA SANS SUCRE, comprimé effervescent édulcoré à l'aspartam et à l'acésulfame de potassium
Q2070695	CIS69630186	SPECIAFOLDINE 5 mg, comprimé
Q2070695	CIS67312509	SOLUVIT, lyophilisat pour usage parentéral
Q2070695	CIS68502917	ACIDE FOLIQUE CCD 0,4 mg, comprimé
Q2070695	CIS69448600	ACIDE FOLIQUE CCD 5 mg, comprimé
Q2070695	CIS67320915	ACIDE FOLIQUE ARROW 5 mg, comprimé
Q2070695	CIS66831230	FERTIFOL 400 microgrammes, comprimé
Q2070695	CIS69661235	ACIDE FOLIQUE MYLAN 5 mg, comprimé
Q2915477	CIS61001031	CERNEVIT, poudre pour solution injectable ou pour perfusion
Q2915477	CIS64875192	TARDYFERON B9, comprimé pelliculé
Q2915477	CIS63160388	BEROCCA, comprimé pelliculé
Q2915477	CIS64732689	SPECIAFOLDINE 0,4 mg, comprimé
Q2915477	CIS64987202	BEROCCA SANS SUCRE, comprimé effervescent édulcoré à l'aspartam et à l'acésulfame de potassium
Q2915477	CIS69630186	SPECIAFOLDINE 5 mg, comprimé
Q2915477	CIS67312509	SOLUVIT, lyophilisat pour usage parentéral
Q2915477	CIS68502917	ACIDE FOLIQUE CCD 0,4 mg, comprimé
Q2915477	CIS69448600	ACIDE FOLIQUE CCD 5 mg, comprimé
Q2915477	CIS67320915	ACIDE FOLIQUE ARROW 5 mg, comprimé
Q2915477	CIS66831230	FERTIFOL 400 microgrammes, comprimé
Q2915477	CIS69661235	ACIDE FOLIQUE MYLAN 5 mg, comprimé
Q10832211	CIS61001031	CERNEVIT, poudre pour solution injectable ou pour perfusion
Q10832211	CIS64875192	TARDYFERON B9, comprimé pelliculé
Q10832211	CIS63160388	BEROCCA, comprimé pelliculé
Q10832211	CIS64732689	SPECIAFOLDINE 0,4 mg, comprimé
Q10832211	CIS64987202	BEROCCA SANS SUCRE, comprimé effervescent édulcoré à l'aspartam et à l'acésulfame de potassium
Q10832211	CIS69630186	SPECIAFOLDINE 5 mg, comprimé
Q10832211	CIS67312509	SOLUVIT, lyophilisat pour usage parentéral
Q10832211	CIS68502917	ACIDE FOLIQUE CCD 0,4 mg, comprimé
Q10832211	CIS69448600	ACIDE FOLIQUE CCD 5 mg, comprimé
Q10832211	CIS67320915	ACIDE FOLIQUE ARROW 5 mg, comprimé
Q10832211	CIS66831230	FERTIFOL 400 microgrammes, comprimé
Q10832211	CIS69661235	ACIDE FOLIQUE MYLAN 5 mg, comprimé
Q29496	CIS61517592	ARACYTINE 100 mg, poudre et solvant pour solution injectable
Q29496	CIS66523859	ARACYTINE 2 g, poudre pour solution pour perfusion (I.V.)
Q29496	CIS63318475	CYTARABINE ACCORD 100 mg/ml, solution injectable ou pour perfusion
Q29496	CIS69737206	ARACYTINE 500 mg, poudre pour solution pour perfusion
Q29496	CIS69493862	CYTARABINE EG 20 mg/ml, solution injectable
Q208414	CIS61517592	ARACYTINE 100 mg, poudre et solvant pour solution injectable
Q208414	CIS66523859	ARACYTINE 2 g, poudre pour solution pour perfusion (I.V.)
Q208414	CIS63318475	CYTARABINE ACCORD 100 mg/ml, solution injectable ou pour perfusion
Q208414	CIS69737206	ARACYTINE 500 mg, poudre pour solution pour perfusion
Q208414	CIS69493862	CYTARABINE EG 20 mg/ml, solution injectable
Q264118	CIS61517592	ARACYTINE 100 mg, poudre et solvant pour solution injectable
Q264118	CIS66523859	ARACYTINE 2 g, poudre pour solution pour perfusion (I.V.)
Q264118	CIS63318475	CYTARABINE ACCORD 100 mg/ml, solution injectable ou pour perfusion
Q264118	CIS69737206	ARACYTINE 500 mg, poudre pour solution pour perfusion
Q264118	CIS69493862	CYTARABINE EG 20 mg/ml, solution injectable
Q268713	CIS61517592	ARACYTINE 100 mg, poudre et solvant pour solution injectable
Q268713	CIS66523859	ARACYTINE 2 g, poudre pour solution pour perfusion (I.V.)
Q268713	CIS63318475	CYTARABINE ACCORD 100 mg/ml, solution injectable ou pour perfusion
Q268713	CIS69737206	ARACYTINE 500 mg, poudre pour solution pour perfusion
Q268713	CIS69493862	CYTARABINE EG 20 mg/ml, solution injectable
Q369157	CIS61517592	ARACYTINE 100 mg, poudre et solvant pour solution injectable
Q369157	CIS66523859	ARACYTINE 2 g, poudre pour solution pour perfusion (I.V.)
Q369157	CIS63318475	CYTARABINE ACCORD 100 mg/ml, solution injectable ou pour perfusion
Q369157	CIS69737206	ARACYTINE 500 mg, poudre pour solution pour perfusion
Q369157	CIS69493862	CYTARABINE EG 20 mg/ml, solution injectable
Q954625	CIS61517592	ARACYTINE 100 mg, poudre et solvant pour solution injectable
Q954625	CIS66523859	ARACYTINE 2 g, poudre pour solution pour perfusion (I.V.)
Q954625	CIS63318475	CYTARABINE ACCORD 100 mg/ml, solution injectable ou pour perfusion
Q954625	CIS69737206	ARACYTINE 500 mg, poudre pour solution pour perfusion
Q954625	CIS69493862	CYTARABINE EG 20 mg/ml, solution injectable
Q976388	CIS61517592	ARACYTINE 100 mg, poudre et solvant pour solution injectable
Q976388	CIS66523859	ARACYTINE 2 g, poudre pour solution pour perfusion (I.V.)
Q976388	CIS63318475	CYTARABINE ACCORD 100 mg/ml, solution injectable ou pour perfusion
Q976388	CIS69737206	ARACYTINE 500 mg, poudre pour solution pour perfusion
Q976388	CIS69493862	CYTARABINE EG 20 mg/ml, solution injectable
Q1138590	CIS61517592	ARACYTINE 100 mg, poudre et solvant pour solution injectable
Q1138590	CIS66523859	ARACYTINE 2 g, poudre pour solution pour perfusion (I.V.)
Q1138590	CIS63318475	CYTARABINE ACCORD 100 mg/ml, solution injectable ou pour perfusion
Q1138590	CIS69737206	ARACYTINE 500 mg, poudre pour solution pour perfusion
Q1138590	CIS69493862	CYTARABINE EG 20 mg/ml, solution injectable
Q2626074	CIS61517592	ARACYTINE 100 mg, poudre et solvant pour solution injectable
Q2626074	CIS66523859	ARACYTINE 2 g, poudre pour solution pour perfusion (I.V.)
Q2626074	CIS63318475	CYTARABINE ACCORD 100 mg/ml, solution injectable ou pour perfusion
Q2626074	CIS69737206	ARACYTINE 500 mg, poudre pour solution pour perfusion
Q2626074	CIS69493862	CYTARABINE EG 20 mg/ml, solution injectable
Q18555117	CIS61687452	CHLORHYDRATE DE METHADONE ASSISTANCE PUBLIQUE-HÔPITAUX DE PARIS 20 mg/15 ml, sirop en récipient unidose
Q18555117	CIS61144346	CHLORHYDRATE DE METHADONE ASSISTANCE PUBLIQUE-HOPITAUX DE PARIS 5 mg/3,75 ml, sirop en récipient unidose
Q18555117	CIS61610484	CHLORHYDRATE DE METHADONE ASSISTANCE PUBLIQUE - HOPITAUX DE PARIS 60 mg/15 ml, sirop en récipient unidose
Q18555117	CIS63644827	CHLORHYDRATE DE METHADONE ASSISTANCE PUBLIQUE - HOPITAUX DE PARIS 40 mg/15 ml, sirop en récipient unidose
Q18555117	CIS60998856	METHADONE AP-HP 10 mg, gélule
Q18555117	CIS63009443	METHADONE AP-HP 20 mg, gélule
Q18555117	CIS65738008	METHADONE AP-HP 40 mg, gélule
Q18555117	CIS68874401	CHLORHYDRATE DE METHADONE ASSISTANCE PUBLIQUE-HÔPITAUX DE PARIS 10 mg/7,5 ml, sirop en récipient unidose
Q18555117	CIS67255773	METHADONE AP-HP 1,33 mg/ml, sirop
Q18555117	CIS67296909	METHADONE AP-HP 1 mg, gélule
Q18555117	CIS68726979	METHADONE AP-HP 5 mg, gélule
Q223254	CIS62311321	ZECLAR 50 mg/ml, granulés pour suspension buvable
Q223254	CIS63671347	ZECLAR 250 mg, comprimé pelliculé
Q223254	CIS62901197	ZECLAR 25 mg/ml, granulés pour suspension buvable
Q223254	CIS64635578	CLARITHROMYCINE BIPHAR 500 mg, comprimé pelliculé
Q223254	CIS61433564	ZECLAR 0,5 g, poudre pour solution pour perfusion
Q223254	CIS60814021	CLARITHROMYCINE ARROW 500 mg, comprimé pelliculé
Q223254	CIS61594165	CLARITHROMYCINE MYLAN 50 mg/ml, granulés pour suspension buvable
Q223254	CIS61904023	CLARITHROMYCINE MYLAN 500 mg, comprimé pelliculé
Q223254	CIS65040811	CLARITHROMYCINE ARROW 50 mg/ml, granulés pour suspension buvable
Q223254	CIS65326798	CLARITHROMYCINE SANDOZ 50 mg/ml, granulés pour suspension buvable
Q223254	CIS65576684	CLARITHROMYCINE SANDOZ 500 mg, comprimé pelliculé
Q223254	CIS65880178	CLARITHROMYCINE MYLAN 25 mg/ml, granulés pour suspension buvable
Q223254	CIS65133607	CLARITHROMYCINE BIPHAR 25 mg/ml, granulés pour suspension buvable
Q223254	CIS67997205	ZECLAR 500 mg, comprimé pelliculé
Q223254	CIS66840375	MONOZECLAR 500 mg, comprimé pelliculé à libération modifiée
Q223254	CIS69837295	CLARITHROMYCINE MYLAN PHARMA 500 mg, comprimé pelliculé à libération modifiée
Q223254	CIS67197409	CLARITHROMYCINE MYLAN 250 mg, comprimé pelliculé
Q223254	CIS68129222	CLARITHROMYCINE SANDOZ 25 mg/ml, granulés pour suspension buvable
Q223254	CIS68879206	CLARITHROMYCINE ARROW 250 mg, comprimé pelliculé
Q223254	CIS69468962	CLARITHROMYCINE SANDOZ 250 mg, comprimé pelliculé
Q223254	CIS69340610	CLARITHROMYCINE MYLAN PHARMA 250 mg, comprimé pelliculé
Q223254	CIS69875082	CLARITHROMYCINE ARROW 25 mg/ml, granulés pour suspension buvable
Q727028	CIS62311321	ZECLAR 50 mg/ml, granulés pour suspension buvable
Q727028	CIS63671347	ZECLAR 250 mg, comprimé pelliculé
Q727028	CIS62901197	ZECLAR 25 mg/ml, granulés pour suspension buvable
Q727028	CIS64635578	CLARITHROMYCINE BIPHAR 500 mg, comprimé pelliculé
Q727028	CIS61433564	ZECLAR 0,5 g, poudre pour solution pour perfusion
Q727028	CIS60814021	CLARITHROMYCINE ARROW 500 mg, comprimé pelliculé
Q727028	CIS61594165	CLARITHROMYCINE MYLAN 50 mg/ml, granulés pour suspension buvable
Q727028	CIS61904023	CLARITHROMYCINE MYLAN 500 mg, comprimé pelliculé
Q727028	CIS65040811	CLARITHROMYCINE ARROW 50 mg/ml, granulés pour suspension buvable
Q727028	CIS65326798	CLARITHROMYCINE SANDOZ 50 mg/ml, granulés pour suspension buvable
Q727028	CIS65576684	CLARITHROMYCINE SANDOZ 500 mg, comprimé pelliculé
Q727028	CIS65880178	CLARITHROMYCINE MYLAN 25 mg/ml, granulés pour suspension buvable
Q727028	CIS65133607	CLARITHROMYCINE BIPHAR 25 mg/ml, granulés pour suspension buvable
Q727028	CIS67997205	ZECLAR 500 mg, comprimé pelliculé
Q727028	CIS66840375	MONOZECLAR 500 mg, comprimé pelliculé à libération modifiée
Q727028	CIS69837295	CLARITHROMYCINE MYLAN PHARMA 500 mg, comprimé pelliculé à libération modifiée
Q727028	CIS67197409	CLARITHROMYCINE MYLAN 250 mg, comprimé pelliculé
Q727028	CIS68129222	CLARITHROMYCINE SANDOZ 25 mg/ml, granulés pour suspension buvable
Q727028	CIS68879206	CLARITHROMYCINE ARROW 250 mg, comprimé pelliculé
Q727028	CIS69468962	CLARITHROMYCINE SANDOZ 250 mg, comprimé pelliculé
Q727028	CIS69340610	CLARITHROMYCINE MYLAN PHARMA 250 mg, comprimé pelliculé
Q727028	CIS69875082	CLARITHROMYCINE ARROW 25 mg/ml, granulés pour suspension buvable
Q876887	CIS62311321	ZECLAR 50 mg/ml, granulés pour suspension buvable
Q876887	CIS63671347	ZECLAR 250 mg, comprimé pelliculé
Q876887	CIS62901197	ZECLAR 25 mg/ml, granulés pour suspension buvable
Q876887	CIS64635578	CLARITHROMYCINE BIPHAR 500 mg, comprimé pelliculé
Q876887	CIS61433564	ZECLAR 0,5 g, poudre pour solution pour perfusion
Q876887	CIS60814021	CLARITHROMYCINE ARROW 500 mg, comprimé pelliculé
Q876887	CIS61594165	CLARITHROMYCINE MYLAN 50 mg/ml, granulés pour suspension buvable
Q876887	CIS61904023	CLARITHROMYCINE MYLAN 500 mg, comprimé pelliculé
Q876887	CIS65040811	CLARITHROMYCINE ARROW 50 mg/ml, granulés pour suspension buvable
Q876887	CIS65326798	CLARITHROMYCINE SANDOZ 50 mg/ml, granulés pour suspension buvable
Q876887	CIS65576684	CLARITHROMYCINE SANDOZ 500 mg, comprimé pelliculé
Q876887	CIS65880178	CLARITHROMYCINE MYLAN 25 mg/ml, granulés pour suspension buvable
Q876887	CIS65133607	CLARITHROMYCINE BIPHAR 25 mg/ml, granulés pour suspension buvable
Q876887	CIS67997205	ZECLAR 500 mg, comprimé pelliculé
Q876887	CIS66840375	MONOZECLAR 500 mg, comprimé pelliculé à libération modifiée
Q876887	CIS69837295	CLARITHROMYCINE MYLAN PHARMA 500 mg, comprimé pelliculé à libération modifiée
Q876887	CIS67197409	CLARITHROMYCINE MYLAN 250 mg, comprimé pelliculé
Q876887	CIS68129222	CLARITHROMYCINE SANDOZ 25 mg/ml, granulés pour suspension buvable
Q876887	CIS68879206	CLARITHROMYCINE ARROW 250 mg, comprimé pelliculé
Q876887	CIS69468962	CLARITHROMYCINE SANDOZ 250 mg, comprimé pelliculé
Q876887	CIS69340610	CLARITHROMYCINE MYLAN PHARMA 250 mg, comprimé pelliculé
Q876887	CIS69875082	CLARITHROMYCINE ARROW 25 mg/ml, granulés pour suspension buvable
Q2085267	CIS62311321	ZECLAR 50 mg/ml, granulés pour suspension buvable
Q2085267	CIS63671347	ZECLAR 250 mg, comprimé pelliculé
Q2085267	CIS62901197	ZECLAR 25 mg/ml, granulés pour suspension buvable
Q2085267	CIS64635578	CLARITHROMYCINE BIPHAR 500 mg, comprimé pelliculé
Q2085267	CIS61433564	ZECLAR 0,5 g, poudre pour solution pour perfusion
Q2085267	CIS60814021	CLARITHROMYCINE ARROW 500 mg, comprimé pelliculé
Q2085267	CIS61594165	CLARITHROMYCINE MYLAN 50 mg/ml, granulés pour suspension buvable
Q2085267	CIS61904023	CLARITHROMYCINE MYLAN 500 mg, comprimé pelliculé
Q2085267	CIS65040811	CLARITHROMYCINE ARROW 50 mg/ml, granulés pour suspension buvable
Q2085267	CIS65326798	CLARITHROMYCINE SANDOZ 50 mg/ml, granulés pour suspension buvable
Q2085267	CIS65576684	CLARITHROMYCINE SANDOZ 500 mg, comprimé pelliculé
Q2085267	CIS65880178	CLARITHROMYCINE MYLAN 25 mg/ml, granulés pour suspension buvable
Q2085267	CIS65133607	CLARITHROMYCINE BIPHAR 25 mg/ml, granulés pour suspension buvable
Q2085267	CIS67997205	ZECLAR 500 mg, comprimé pelliculé
Q2085267	CIS66840375	MONOZECLAR 500 mg, comprimé pelliculé à libération modifiée
Q2085267	CIS69837295	CLARITHROMYCINE MYLAN PHARMA 500 mg, comprimé pelliculé à libération modifiée
Q2085267	CIS67197409	CLARITHROMYCINE MYLAN 250 mg, comprimé pelliculé
Q2085267	CIS68129222	CLARITHROMYCINE SANDOZ 25 mg/ml, granulés pour suspension buvable
Q2085267	CIS68879206	CLARITHROMYCINE ARROW 250 mg, comprimé pelliculé
Q2085267	CIS69468962	CLARITHROMYCINE SANDOZ 250 mg, comprimé pelliculé
Q2085267	CIS69340610	CLARITHROMYCINE MYLAN PHARMA 250 mg, comprimé pelliculé
Q2085267	CIS69875082	CLARITHROMYCINE ARROW 25 mg/ml, granulés pour suspension buvable
Q2458539	CIS62311321	ZECLAR 50 mg/ml, granulés pour suspension buvable
Q2458539	CIS63671347	ZECLAR 250 mg, comprimé pelliculé
Q2458539	CIS62901197	ZECLAR 25 mg/ml, granulés pour suspension buvable
Q2458539	CIS64635578	CLARITHROMYCINE BIPHAR 500 mg, comprimé pelliculé
Q2458539	CIS61433564	ZECLAR 0,5 g, poudre pour solution pour perfusion
Q2458539	CIS60814021	CLARITHROMYCINE ARROW 500 mg, comprimé pelliculé
Q2458539	CIS61594165	CLARITHROMYCINE MYLAN 50 mg/ml, granulés pour suspension buvable
Q2458539	CIS61904023	CLARITHROMYCINE MYLAN 500 mg, comprimé pelliculé
Q2458539	CIS65040811	CLARITHROMYCINE ARROW 50 mg/ml, granulés pour suspension buvable
Q2458539	CIS65326798	CLARITHROMYCINE SANDOZ 50 mg/ml, granulés pour suspension buvable
Q2458539	CIS65576684	CLARITHROMYCINE SANDOZ 500 mg, comprimé pelliculé
Q2458539	CIS65880178	CLARITHROMYCINE MYLAN 25 mg/ml, granulés pour suspension buvable
Q2458539	CIS65133607	CLARITHROMYCINE BIPHAR 25 mg/ml, granulés pour suspension buvable
Q2458539	CIS67997205	ZECLAR 500 mg, comprimé pelliculé
Q2458539	CIS66840375	MONOZECLAR 500 mg, comprimé pelliculé à libération modifiée
Q2458539	CIS69837295	CLARITHROMYCINE MYLAN PHARMA 500 mg, comprimé pelliculé à libération modifiée
Q2458539	CIS67197409	CLARITHROMYCINE MYLAN 250 mg, comprimé pelliculé
Q2458539	CIS68129222	CLARITHROMYCINE SANDOZ 25 mg/ml, granulés pour suspension buvable
Q2458539	CIS68879206	CLARITHROMYCINE ARROW 250 mg, comprimé pelliculé
Q2458539	CIS69468962	CLARITHROMYCINE SANDOZ 250 mg, comprimé pelliculé
Q2458539	CIS69340610	CLARITHROMYCINE MYLAN PHARMA 250 mg, comprimé pelliculé
Q2458539	CIS69875082	CLARITHROMYCINE ARROW 25 mg/ml, granulés pour suspension buvable
Q2622199	CIS62311321	ZECLAR 50 mg/ml, granulés pour suspension buvable
Q2622199	CIS63671347	ZECLAR 250 mg, comprimé pelliculé
Q2622199	CIS62901197	ZECLAR 25 mg/ml, granulés pour suspension buvable
Q2622199	CIS64635578	CLARITHROMYCINE BIPHAR 500 mg, comprimé pelliculé
Q2622199	CIS61433564	ZECLAR 0,5 g, poudre pour solution pour perfusion
Q2622199	CIS60814021	CLARITHROMYCINE ARROW 500 mg, comprimé pelliculé
Q2622199	CIS61594165	CLARITHROMYCINE MYLAN 50 mg/ml, granulés pour suspension buvable
Q2622199	CIS61904023	CLARITHROMYCINE MYLAN 500 mg, comprimé pelliculé
Q2622199	CIS65040811	CLARITHROMYCINE ARROW 50 mg/ml, granulés pour suspension buvable
Q2622199	CIS65326798	CLARITHROMYCINE SANDOZ 50 mg/ml, granulés pour suspension buvable
Q2622199	CIS65576684	CLARITHROMYCINE SANDOZ 500 mg, comprimé pelliculé
Q2622199	CIS65880178	CLARITHROMYCINE MYLAN 25 mg/ml, granulés pour suspension buvable
Q2622199	CIS65133607	CLARITHROMYCINE BIPHAR 25 mg/ml, granulés pour suspension buvable
Q2622199	CIS67997205	ZECLAR 500 mg, comprimé pelliculé
Q2622199	CIS66840375	MONOZECLAR 500 mg, comprimé pelliculé à libération modifiée
Q2622199	CIS69837295	CLARITHROMYCINE MYLAN PHARMA 500 mg, comprimé pelliculé à libération modifiée
Q2622199	CIS67197409	CLARITHROMYCINE MYLAN 250 mg, comprimé pelliculé
Q2622199	CIS68129222	CLARITHROMYCINE SANDOZ 25 mg/ml, granulés pour suspension buvable
Q2622199	CIS68879206	CLARITHROMYCINE ARROW 250 mg, comprimé pelliculé
Q2622199	CIS69468962	CLARITHROMYCINE SANDOZ 250 mg, comprimé pelliculé
Q2622199	CIS69340610	CLARITHROMYCINE MYLAN PHARMA 250 mg, comprimé pelliculé
Q2622199	CIS69875082	CLARITHROMYCINE ARROW 25 mg/ml, granulés pour suspension buvable
Q2710164	CIS62311321	ZECLAR 50 mg/ml, granulés pour suspension buvable
Q2710164	CIS63671347	ZECLAR 250 mg, comprimé pelliculé
Q2710164	CIS62901197	ZECLAR 25 mg/ml, granulés pour suspension buvable
Q2710164	CIS64635578	CLARITHROMYCINE BIPHAR 500 mg, comprimé pelliculé
Q2710164	CIS61433564	ZECLAR 0,5 g, poudre pour solution pour perfusion
Q2710164	CIS60814021	CLARITHROMYCINE ARROW 500 mg, comprimé pelliculé
Q2710164	CIS61594165	CLARITHROMYCINE MYLAN 50 mg/ml, granulés pour suspension buvable
Q2710164	CIS61904023	CLARITHROMYCINE MYLAN 500 mg, comprimé pelliculé
Q2710164	CIS65040811	CLARITHROMYCINE ARROW 50 mg/ml, granulés pour suspension buvable
Q2710164	CIS65326798	CLARITHROMYCINE SANDOZ 50 mg/ml, granulés pour suspension buvable
Q2710164	CIS65576684	CLARITHROMYCINE SANDOZ 500 mg, comprimé pelliculé
Q2710164	CIS65880178	CLARITHROMYCINE MYLAN 25 mg/ml, granulés pour suspension buvable
Q2710164	CIS65133607	CLARITHROMYCINE BIPHAR 25 mg/ml, granulés pour suspension buvable
Q2710164	CIS67997205	ZECLAR 500 mg, comprimé pelliculé
Q2710164	CIS66840375	MONOZECLAR 500 mg, comprimé pelliculé à libération modifiée
Q2710164	CIS69837295	CLARITHROMYCINE MYLAN PHARMA 500 mg, comprimé pelliculé à libération modifiée
Q2710164	CIS67197409	CLARITHROMYCINE MYLAN 250 mg, comprimé pelliculé
Q2710164	CIS68129222	CLARITHROMYCINE SANDOZ 25 mg/ml, granulés pour suspension buvable
Q2710164	CIS68879206	CLARITHROMYCINE ARROW 250 mg, comprimé pelliculé
Q2710164	CIS69468962	CLARITHROMYCINE SANDOZ 250 mg, comprimé pelliculé
Q2710164	CIS69340610	CLARITHROMYCINE MYLAN PHARMA 250 mg, comprimé pelliculé
Q2710164	CIS69875082	CLARITHROMYCINE ARROW 25 mg/ml, granulés pour suspension buvable
Q4293079	CIS62311321	ZECLAR 50 mg/ml, granulés pour suspension buvable
Q4293079	CIS63671347	ZECLAR 250 mg, comprimé pelliculé
Q4293079	CIS62901197	ZECLAR 25 mg/ml, granulés pour suspension buvable
Q4293079	CIS64635578	CLARITHROMYCINE BIPHAR 500 mg, comprimé pelliculé
Q4293079	CIS61433564	ZECLAR 0,5 g, poudre pour solution pour perfusion
Q4293079	CIS60814021	CLARITHROMYCINE ARROW 500 mg, comprimé pelliculé
Q4293079	CIS61594165	CLARITHROMYCINE MYLAN 50 mg/ml, granulés pour suspension buvable
Q4293079	CIS61904023	CLARITHROMYCINE MYLAN 500 mg, comprimé pelliculé
Q4293079	CIS65040811	CLARITHROMYCINE ARROW 50 mg/ml, granulés pour suspension buvable
Q4293079	CIS65326798	CLARITHROMYCINE SANDOZ 50 mg/ml, granulés pour suspension buvable
Q4293079	CIS65576684	CLARITHROMYCINE SANDOZ 500 mg, comprimé pelliculé
Q4293079	CIS65880178	CLARITHROMYCINE MYLAN 25 mg/ml, granulés pour suspension buvable
Q4293079	CIS65133607	CLARITHROMYCINE BIPHAR 25 mg/ml, granulés pour suspension buvable
