ICD10	PMSI	diseaseName	Wikidata	UMLS	synonyms	abbreviation
B36.8	PMSI:DIAGNOSTIC-ICD10CHU|B36.8	Autres mycoses superficielles précisées	n/a	n/a	n/a	n/a
B41.9	PMSI:DIAGNOSTIC-ICD10CHU|B41.9	Paracoccidioïdomycose, sans précision	Q247096	n/a	n/a	n/a
B46.3	PMSI:DIAGNOSTIC-ICD10CHU|B46.3	Mucormycose cutanée	n/a	n/a	n/a	n/a
B46.8	PMSI:DIAGNOSTIC-ICD10CHU|B46.8	Autres zygomycoses	Q5161045	n/a	n/a	n/a
B50.8	PMSI:DIAGNOSTIC-ICD10CHU|B50.8	Autres formes sévères et compliquées de paludisme à Plasmodium falciparum	n/a	n/a	n/a	n/a
B51.9	PMSI:DIAGNOSTIC-ICD10CHU|B51.9	Paludisme à Plasmodium vivax, sans complication	Q18554412	n/a	n/a	n/a
B52.9	PMSI:DIAGNOSTIC-ICD10CHU|B52.9	Paludisme à Plasmodium malariae, sans complication	Q18554742	n/a	n/a	n/a
B53.0	PMSI:DIAGNOSTIC-ICD10CHU|B53.0	Paludisme à Plasmodium ovale	Q18554399	n/a	n/a	n/a
B58.2	PMSI:DIAGNOSTIC-ICD10CHU|B58.2	Méningo-encéphalite à Toxoplasma $ (G052*)	n/a	n/a	n/a	n/a
B66.1	PMSI:DIAGNOSTIC-ICD10CHU|B66.1	Clonorchiase	Q1102300	n/a	n/a	n/a
B66.3	PMSI:DIAGNOSTIC-ICD10CHU|B66.3	Fasciolase	Q6972442	n/a	n/a	n/a
B66.9	PMSI:DIAGNOSTIC-ICD10CHU|B66.9	Infection par douves, sans précision	n/a	n/a	n/a	n/a
B68.0	PMSI:DIAGNOSTIC-ICD10CHU|B68.0	Infection à Taenia solium	n/a	n/a	n/a	n/a
B68.1	PMSI:DIAGNOSTIC-ICD10CHU|B68.1	Infection à Taenia saginata	Q4454701	n/a	n/a	n/a
B87.4	PMSI:DIAGNOSTIC-ICD10CHU|B87.4	Myiase auriculaire	Q304601	n/a	n/a	n/a
B95.7	PMSI:DIAGNOSTIC-ICD10CHU|B95.7	Autres staphylocoques, cause de maladies classées dans d'autres chapitres	n/a	n/a	n/a	n/a
B96.2	PMSI:DIAGNOSTIC-ICD10CHU|B96.2	Escherichia coli, cause de maladies classées dans d'autres chapitres	n/a	n/a	n/a	n/a
B96.80	PMSI:DIAGNOSTIC-ICD10CHU|B96.80	Acinetobacter (A. baumannii), cause de maladies classées dans d'autres chapitres	n/a	n/a	n/a	n/a
B97.2	PMSI:DIAGNOSTIC-ICD10CHU|B97.2	Coronavirus, cause de maladies classées dans d'autres chapitres	n/a	n/a	n/a	n/a
C00.5	PMSI:DIAGNOSTIC-ICD10CHU|C00.5	Tumeur maligne : Lèvre, sans précision, face interne	n/a	n/a	n/a	n/a
C02.2	PMSI:DIAGNOSTIC-ICD10CHU|C02.2	Tumeur maligne : Face inférieure de la langue	Q9303625	n/a	n/a	n/a
C02.8	PMSI:DIAGNOSTIC-ICD10CHU|C02.8	Tumeur maligne : Langue, localisations contigües	n/a	n/a	n/a	n/a
C05.0	PMSI:DIAGNOSTIC-ICD10CHU|C05.0	Tumeur maligne : Voûte palatine	Q11587685	n/a	n/a	n/a
C08.0	PMSI:DIAGNOSTIC-ICD10CHU|C08.0	Tumeur maligne : Glande sous-maxillaire	Q18558076	n/a	n/a	n/a
C08.8	PMSI:DIAGNOSTIC-ICD10CHU|C08.8	Tumeur maligne : Glandes salivaires principales, localisations contigües	n/a	n/a	n/a	n/a
C10.1	PMSI:DIAGNOSTIC-ICD10CHU|C10.1	Tumeur maligne : Face antérieure de l'épiglotte	Q18557843	n/a	n/a	n/a
C13.2	PMSI:DIAGNOSTIC-ICD10CHU|C13.2	Tumeur maligne : Paroi postérieure de l'hypopharynx	Q1393463	n/a	n/a	n/a
C15.1	PMSI:DIAGNOSTIC-ICD10CHU|C15.1	Tumeur maligne : Oesophage thoracique	n/a	n/a	n/a	n/a
C17.2	PMSI:DIAGNOSTIC-ICD10CHU|C17.2	Tumeur maligne : lléon	Q18553795	n/a	n/a	n/a
C25.9	PMSI:DIAGNOSTIC-ICD10CHU|C25.9	Tumeur maligne : Pancréas, sans précision	n/a	n/a	n/a	n/a
C26.1	PMSI:DIAGNOSTIC-ICD10CHU|C26.1	Tumeur maligne : Rate	Q5400399	n/a	n/a	n/a
C31.2	PMSI:DIAGNOSTIC-ICD10CHU|C31.2	Tumeur maligne : Sinus frontal	Q18554557	n/a	n/a	n/a
C32.8	PMSI:DIAGNOSTIC-ICD10CHU|C32.8	Tumeur maligne : Larynx, localisations contigües	n/a	n/a	n/a	n/a
C38.1	PMSI:DIAGNOSTIC-ICD10CHU|C38.1	Tumeur maligne : Médiastin antérieur	n/a	n/a	n/a	n/a
C43.1	PMSI:DIAGNOSTIC-ICD10CHU|C43.1	Mélanome malin : Paupière, y compris le canthus	n/a	n/a	n/a	n/a
C46.9	PMSI:DIAGNOSTIC-ICD10CHU|C46.9	Sarcome de Kaposi, SP	Q725345	n/a	n/a	n/a
C48.0	PMSI:DIAGNOSTIC-ICD10CHU|C48.0	Tumeur maligne : Rétropéritoine	Q18557049	n/a	n/a	n/a
C49.58	PMSI:DIAGNOSTIC-ICD10CHU|C49.58	Autres tumeurs malignes du tissu conjonctif et des autres tissus mous du pelvis	n/a	n/a	n/a	n/a
C49.8	PMSI:DIAGNOSTIC-ICD10CHU|C49.8	Tumeur maligne : Tissu conjonctif et autres tissus mous, localisations contigües	n/a	n/a	n/a	n/a
C50.0	PMSI:DIAGNOSTIC-ICD10CHU|C50.0	Tumeur maligne : Mamelon et aréole	n/a	n/a	n/a	n/a
C50.9	PMSI:DIAGNOSTIC-ICD10CHU|C50.9	Tumeur maligne : Sein, sans précision	n/a	n/a	n/a	n/a
C53.1	PMSI:DIAGNOSTIC-ICD10CHU|C53.1	Tumeur maligne : Exocol de l'utérus	n/a	n/a	n/a	n/a
C57.3	PMSI:DIAGNOSTIC-ICD10CHU|C57.3	Tumeur maligne : Paramètre	Q18554159	n/a	n/a	n/a
C68.1	PMSI:DIAGNOSTIC-ICD10CHU|C68.1	Tumeur maligne : Glande urétrale	Q18554669	n/a	n/a	n/a
C68.9	PMSI:DIAGNOSTIC-ICD10CHU|C68.9	Tumeur maligne : Organe urinaire, sans précision	Q18556141	n/a	n/a	n/a
C69.4	PMSI:DIAGNOSTIC-ICD10CHU|C69.4	Tumeur maligne : Corps ciliaire	Q18556289	n/a	n/a	n/a
C70.1	PMSI:DIAGNOSTIC-ICD10CHU|C70.1	Tumeur maligne : Méninges rachidiennes	Q18557520	n/a	n/a	n/a
C72.4	PMSI:DIAGNOSTIC-ICD10CHU|C72.4	Tumeur maligne : Nerf auditif	Q18555205	n/a	n/a	n/a
C72.9	PMSI:DIAGNOSTIC-ICD10CHU|C72.9	Tumeur maligne : Système nerveux central, sans précision	Q18556002	n/a	n/a	n/a
C79.4	PMSI:DIAGNOSTIC-ICD10CHU|C79.4	Tumeur maligne secondaire de parties du système nerveux, autres et non précisées	n/a	n/a	n/a	n/a
C79.7	PMSI:DIAGNOSTIC-ICD10CHU|C79.7	Tumeur maligne secondaire : Glande surrénale	n/a	n/a	n/a	n/a
C80.0	PMSI:DIAGNOSTIC-ICD10CHU|C80.0	Tumeur maligne de siège primitif non précisé, ainsi décrit	Q1024546	n/a	n/a	n/a
C81.7	PMSI:DIAGNOSTIC-ICD10CHU|C81.7	Autres formes de lymphome de Hodgkin (classique)	n/a	n/a	n/a	n/a
C82.9	PMSI:DIAGNOSTIC-ICD10CHU|C82.9	Lymphome folliculaire sans précision	n/a	n/a	n/a	n/a
C84.7	PMSI:DIAGNOSTIC-ICD10CHU|C84.7	Lymphome anaplasique à grandes cellules ALK négatives	Q486090	n/a	n/a	n/a
M21.92	PMSI:DIAGNOSTIC-ICD10CHU|M21.92	Déformation d'un membre, sans précision - Bras	n/a	n/a	n/a	n/a
M22.9	PMSI:DIAGNOSTIC-ICD10CHU|M22.9	Lésion de la rotule, sans précision	n/a	n/a	n/a	n/a
M23.05	PMSI:DIAGNOSTIC-ICD10CHU|M23.05	Kyste du ménisque - CPME	n/a	n/a	n/a	n/a
M23.21	PMSI:DIAGNOSTIC-ICD10CHU|M23.21	Lésion d'un ménisque due à une déchirure ou un traumatisme ancien - CAMI	n/a	n/a	n/a	n/a
M23.32	PMSI:DIAGNOSTIC-ICD10CHU|M23.32	Autres atteintes du ménisque - CPMI	n/a	n/a	n/a	n/a
M23.34	PMSI:DIAGNOSTIC-ICD10CHU|M23.34	Autres atteintes du ménisque - CAME	n/a	n/a	n/a	n/a
M24.10	PMSI:DIAGNOSTIC-ICD10CHU|M24.10	Autres atteintes du cartilage articulaire - Sièges multiples	n/a	n/a	n/a	n/a
M24.2	PMSI:DIAGNOSTIC-ICD10CHU|M24.2	Lésion ligamentaire	n/a	n/a	n/a	n/a
M24.21	PMSI:DIAGNOSTIC-ICD10CHU|M24.21	Lésion ligamentaire - Articulations de l'épaule	n/a	n/a	n/a	n/a
M24.28	PMSI:DIAGNOSTIC-ICD10CHU|M24.28	Lésion ligamentaire - Autres articulations	n/a	n/a	n/a	n/a
M24.37	PMSI:DIAGNOSTIC-ICD10CHU|M24.37	Luxation-subluxation pathologiques articulation NCA - Articulations de la cheville et du pied	n/a	n/a	n/a	n/a
M24.38	PMSI:DIAGNOSTIC-ICD10CHU|M24.38	Luxation-subluxation pathologiques articulation NCA - Autres articulations	n/a	n/a	n/a	n/a
M24.45	PMSI:DIAGNOSTIC-ICD10CHU|M24.45	Luxation-subluxation articulaires récidivantes - Articulations de la hanche et sacro-iliaque	n/a	n/a	n/a	n/a
M24.63	PMSI:DIAGNOSTIC-ICD10CHU|M24.63	Ankylose articulaire - Articulation du poignet	n/a	n/a	n/a	n/a
M24.81	PMSI:DIAGNOSTIC-ICD10CHU|M24.81	Autres lésions articulaires spécifiques NCA - Articulations de l'épaule	n/a	n/a	n/a	n/a
M24.89	PMSI:DIAGNOSTIC-ICD10CHU|M24.89	Autres lésions articulaires spécifiques NCA - Siège non précisé	n/a	n/a	n/a	n/a
M24.97	PMSI:DIAGNOSTIC-ICD10CHU|M24.97	Lésion articulaire, sans précision - Articulations de la cheville et du pied	n/a	n/a	n/a	n/a
M25.03	PMSI:DIAGNOSTIC-ICD10CHU|M25.03	Hémarthrose - Articulation du poignet	n/a	n/a	n/a	n/a
M25.13	PMSI:DIAGNOSTIC-ICD10CHU|M25.13	Fistule articulaire - Articulation du poignet	n/a	n/a	n/a	n/a
M25.14	PMSI:DIAGNOSTIC-ICD10CHU|M25.14	Fistule articulaire - Articulations de la main	n/a	n/a	n/a	n/a
M25.63	PMSI:DIAGNOSTIC-ICD10CHU|M25.63	Raideur articulaire, non classée ailleurs - Articulation du poignet	n/a	n/a	n/a	n/a
M25.72	PMSI:DIAGNOSTIC-ICD10CHU|M25.72	Ostéophyte - Articulation du coude	n/a	n/a	n/a	n/a
M25.78	PMSI:DIAGNOSTIC-ICD10CHU|M25.78	Ostéophyte - Autres articulations	n/a	n/a	n/a	n/a
M25.95	PMSI:DIAGNOSTIC-ICD10CHU|M25.95	Affection articulaire, sans précision - Articulations de la hanche et sacro-iliaque	n/a	n/a	n/a	n/a
M30.3	PMSI:DIAGNOSTIC-ICD10CHU|M30.3	M de Kawasaki / Syndrome adéno-cutanéo-muqueux	Q265936	n/a	n/a	n/a
M31.9	PMSI:DIAGNOSTIC-ICD10CHU|M31.9	Vasculopathie nécrosante (vascularite), SP	n/a	n/a	n/a	n/a
M35.7	PMSI:DIAGNOSTIC-ICD10CHU|M35.7	Syndrome d'hypermobilité	Q1641042	n/a	n/a	n/a
M40.1	PMSI:DIAGNOSTIC-ICD10CHU|M40.1	Autres cyphoses secondaires	n/a	n/a	n/a	n/a
M40.19	PMSI:DIAGNOSTIC-ICD10CHU|M40.19	Autres cyphoses secondaires - Localisation vertébrale non précisée	n/a	n/a	n/a	n/a
M40.4	PMSI:DIAGNOSTIC-ICD10CHU|M40.4	Autres lordoses	n/a	n/a	n/a	n/a
M40.59	PMSI:DIAGNOSTIC-ICD10CHU|M40.59	Lordose, sans précision - Localisation vertébrale non précisée	n/a	n/a	n/a	n/a
M41.04	PMSI:DIAGNOSTIC-ICD10CHU|M41.04	Scoliose idiopathique infantile - Région dorsale	n/a	n/a	n/a	n/a
M41.2	PMSI:DIAGNOSTIC-ICD10CHU|M41.2	Autres scolioses idiopathiques	n/a	n/a	n/a	n/a
M41.34	PMSI:DIAGNOSTIC-ICD10CHU|M41.34	Scoliose par anomalie dorsale - Région dorsale	n/a	n/a	n/a	n/a
M41.39	PMSI:DIAGNOSTIC-ICD10CHU|M41.39	Scoliose par anomalie dorsale - Localisation vertébrale non précisée	n/a	n/a	n/a	n/a
M41.47	PMSI:DIAGNOSTIC-ICD10CHU|M41.47	Scoliose neuromusculaire - Région lombo-sacrée	n/a	n/a	n/a	n/a
M41.86	PMSI:DIAGNOSTIC-ICD10CHU|M41.86	Autres formes de scoliose - Région lombaire	n/a	n/a	n/a	n/a
M43.02	PMSI:DIAGNOSTIC-ICD10CHU|M43.02	Spondylolyse - Région cervicale	n/a	n/a	n/a	n/a
M43.1	PMSI:DIAGNOSTIC-ICD10CHU|M43.1	Spondylolisthésis	Q973524	n/a	n/a	n/a
M43.55	PMSI:DIAGNOSTIC-ICD10CHU|M43.55	Autres subluxations vertébrales récidivantes - Région dorso-lombaire	n/a	n/a	n/a	n/a
M43.87	PMSI:DIAGNOSTIC-ICD10CHU|M43.87	Autres dorsopathies avec déformation précisées - Région lombo-sacrée	n/a	n/a	n/a	n/a
M43.90	PMSI:DIAGNOSTIC-ICD10CHU|M43.90	Dorsopathie avec déformation, sans précision - Localisations vertébrales multiples	n/a	n/a	n/a	n/a
M43.94	PMSI:DIAGNOSTIC-ICD10CHU|M43.94	Dorsopathie avec déformation, sans précision - Région dorsale	n/a	n/a	n/a	n/a
M46.02	PMSI:DIAGNOSTIC-ICD10CHU|M46.02	Enthésopathie spinale - Région cervicale	n/a	n/a	n/a	n/a
M46.23	PMSI:DIAGNOSTIC-ICD10CHU|M46.23	Ostéomyélite vertébrale - Région cervico-dorsale	n/a	n/a	n/a	n/a
M46.28	PMSI:DIAGNOSTIC-ICD10CHU|M46.28	Ostéomyélite vertébrale - Région sacrée et sacro-coccygienne	n/a	n/a	n/a	n/a
M46.29	PMSI:DIAGNOSTIC-ICD10CHU|M46.29	Ostéomyélite vertébrale - Localisation vertébrale non précisée	n/a	n/a	n/a	n/a
M46.32	PMSI:DIAGNOSTIC-ICD10CHU|M46.32	Infection (pyogène) d'un disque intervertébral - Région cervicale	n/a	n/a	n/a	n/a
M46.37	PMSI:DIAGNOSTIC-ICD10CHU|M46.37	Infection (pyogène) d'un disque intervertébral - Région lombo-sacrée	n/a	n/a	n/a	n/a
M46.44	PMSI:DIAGNOSTIC-ICD10CHU|M46.44	Discite, sans précision - Région dorsale	n/a	n/a	n/a	n/a
M46.47	PMSI:DIAGNOSTIC-ICD10CHU|M46.47	Discite, sans précision - Région lombo-sacrée	n/a	n/a	n/a	n/a
M46.50	PMSI:DIAGNOSTIC-ICD10CHU|M46.50	Autres spondylopathies infectieuses - Localisations vertébrales multiples	n/a	n/a	n/a	n/a
M46.52	PMSI:DIAGNOSTIC-ICD10CHU|M46.52	Autres spondylopathies infectieuses - Région cervicale	n/a	n/a	n/a	n/a
M46.9	PMSI:DIAGNOSTIC-ICD10CHU|M46.9	Spondylopathie inflammatoire, sans précision	n/a	n/a	n/a	n/a
M47.01	PMSI:DIAGNOSTIC-ICD10CHU|M47.01	Syndrome compression artères vertébrale et spinale antérieure - Région occipito-atloïdo-axoïdienne	n/a	n/a	n/a	n/a
M47.88	PMSI:DIAGNOSTIC-ICD10CHU|M47.88	Autres spondylarthroses - Région sacrée et sacro-coccygienne	n/a	n/a	n/a	n/a
M48.00	PMSI:DIAGNOSTIC-ICD10CHU|M48.00	Rétrécissement du canal médullaire - Localisations vertébrales multiples	Q1478321	n/a	n/a	['CLE']
M48.10	PMSI:DIAGNOSTIC-ICD10CHU|M48.10	Hyperostose ankylosante (Forestier) - Localisations vertébrales multiples	n/a	n/a	n/a	n/a
M48.46	PMSI:DIAGNOSTIC-ICD10CHU|M48.46	Fracture vertébrale de fatigue - Région lombaire	n/a	n/a	n/a	n/a
M48.52	PMSI:DIAGNOSTIC-ICD10CHU|M48.52	Tassement vertébral SAI, localisation cervical	n/a	n/a	n/a	n/a
M48.85	PMSI:DIAGNOSTIC-ICD10CHU|M48.85	Autres spondylopathies précisées - Région dorso-lombaire	n/a	n/a	n/a	n/a
M49.04	PMSI:DIAGNOSTIC-ICD10CHU|M49.04	Tuberculose vertébrale (A180$) - Région dorsale	n/a	n/a	n/a	n/a
M49.23	PMSI:DIAGNOSTIC-ICD10CHU|M49.23	Spondylite entérobactérienne (A01-A04$) - Région cervico-dorsale	n/a	n/a	n/a	n/a
M49.44	PMSI:DIAGNOSTIC-ICD10CHU|M49.44	Spondylopathie neurologique - Région dorsale	n/a	n/a	n/a	n/a
M49.84	PMSI:DIAGNOSTIC-ICD10CHU|M49.84	Spondylopathie au cours d'autres maladies CA - Région dorsale	n/a	n/a	n/a	n/a
M50.9	PMSI:DIAGNOSTIC-ICD10CHU|M50.9	Atteinte d'un disque cervical, sans précision	n/a	n/a	n/a	n/a
M53.38	PMSI:DIAGNOSTIC-ICD10CHU|M53.38	Atteintes sacrococcygiennes, non classées ailleurs - Région sacrée et sacro-coccygienne	n/a	n/a	n/a	n/a
M53.88	PMSI:DIAGNOSTIC-ICD10CHU|M53.88	Autres dorsopathies précisées - Région sacrée et sacro-coccygienne	n/a	n/a	n/a	n/a
M53.96	PMSI:DIAGNOSTIC-ICD10CHU|M53.96	Dorsopathie, sans précision - Région lombaire	n/a	n/a	n/a	n/a
M54.0	PMSI:DIAGNOSTIC-ICD10CHU|M54.0	Panniculite affectant le cou et le dos	n/a	n/a	n/a	n/a
M54.10	PMSI:DIAGNOSTIC-ICD10CHU|M54.10	Radiculopathie - Localisations vertébrales multiples	Q175180	n/a	n/a	n/a
M54.36	PMSI:DIAGNOSTIC-ICD10CHU|M54.36	Sciatique - Région lombaire	n/a	n/a	n/a	n/a
M54.40	PMSI:DIAGNOSTIC-ICD10CHU|M54.40	Lumbago avec Sciatique - Localisations vertébrales multiples	n/a	n/a	n/a	n/a
M54.56	PMSI:DIAGNOSTIC-ICD10CHU|M54.56	Lombalgie basse - Région lombaire	n/a	n/a	n/a	n/a
M54.8	PMSI:DIAGNOSTIC-ICD10CHU|M54.8	Autres dorsalgies	n/a	n/a	n/a	n/a
M60.0	PMSI:DIAGNOSTIC-ICD10CHU|M60.0	Myosite infectieuse	Q1923955	n/a	n/a	n/a
M60.06	PMSI:DIAGNOSTIC-ICD10CHU|M60.06	Myosite infectieuse - Jambe	n/a	n/a	n/a	n/a
M60.07	PMSI:DIAGNOSTIC-ICD10CHU|M60.07	Myosite infectieuse - Cheville et pied	n/a	n/a	n/a	n/a
M60.15	PMSI:DIAGNOSTIC-ICD10CHU|M60.15	Myosite interstitielle - Région pelvienne et cuisse	n/a	n/a	n/a	n/a
M60.27	PMSI:DIAGNOSTIC-ICD10CHU|M60.27	Granulome tissu mou dû à un corps étranger, NCA - Cheville et pied	n/a	n/a	n/a	n/a
M60.87	PMSI:DIAGNOSTIC-ICD10CHU|M60.87	Autres myosites - Cheville et pied	n/a	n/a	n/a	n/a
M60.98	PMSI:DIAGNOSTIC-ICD10CHU|M60.98	Myosite, sans précision - Autres localisations	n/a	n/a	n/a	n/a
M61.16	PMSI:DIAGNOSTIC-ICD10CHU|M61.16	Myosite ossifiante progressive - Jambe	n/a	n/a	n/a	n/a
M61.18	PMSI:DIAGNOSTIC-ICD10CHU|M61.18	Myosite ossifiante progressive - Autres localisations	n/a	n/a	n/a	n/a
M61.3	PMSI:DIAGNOSTIC-ICD10CHU|M61.3	Calcification et ossification de muscles associées à des brûlures	n/a	n/a	n/a	n/a
M61.43	PMSI:DIAGNOSTIC-ICD10CHU|M61.43	Autres calcifications de muscles - Avant-bras	n/a	n/a	n/a	n/a
M61.56	PMSI:DIAGNOSTIC-ICD10CHU|M61.56	Autres ossifications de muscles - Jambe	n/a	n/a	n/a	n/a
M62.16	PMSI:DIAGNOSTIC-ICD10CHU|M62.16	Autres déchirures musculaires (non traumatiques) - Jambe	n/a	n/a	n/a	n/a
M62.28	PMSI:DIAGNOSTIC-ICD10CHU|M62.28	Infarcissement ischémique musculaire - Autres localisations	n/a	n/a	n/a	n/a
M62.39	PMSI:DIAGNOSTIC-ICD10CHU|M62.39	Syndrome d'immobilité (paraplégique) - Siège non précisé	n/a	n/a	n/a	n/a
M62.46	PMSI:DIAGNOSTIC-ICD10CHU|M62.46	Contracture musculaire - Jambe	n/a	n/a	n/a	n/a
M62.52	PMSI:DIAGNOSTIC-ICD10CHU|M62.52	Atrophie et fonte musculaires, non classées ailleurs - Bras	n/a	n/a	n/a	n/a
M62.55	PMSI:DIAGNOSTIC-ICD10CHU|M62.55	Atrophie et fonte musculaires, non classées ailleurs - Région pelvienne et cuisse	n/a	n/a	n/a	n/a
M62.60	PMSI:DIAGNOSTIC-ICD10CHU|M62.60	Foulure musculaire - Sièges multiples	n/a	n/a	n/a	n/a
M6285/0	PMSI:DIAGNOSTIC-ICD10CHU|M6285/0	n/a	n/a	n/a	n/a	n/a
M6289/8	PMSI:DIAGNOSTIC-ICD10CHU|M6289/8	n/a	n/a	n/a	n/a	n/a
M63.0	PMSI:DIAGNOSTIC-ICD10CHU|M63.0	Myosite au cours de maladies bactériennes classées ailleurs	n/a	n/a	n/a	n/a
M63.3	PMSI:DIAGNOSTIC-ICD10CHU|M63.3	Myosite au cours de sarcoïdose (D868)	n/a	n/a	n/a	n/a
C84.9	PMSI:DIAGNOSTIC-ICD10CHU|C84.9	Lymphome à cellules T/NK matures, sans précision	n/a	n/a	n/a	n/a
C85.0	PMSI:DIAGNOSTIC-ICD10CHU|C85.0	Lymphosarcome	Q18557998	n/a	n/a	n/a
C85.9	PMSI:DIAGNOSTIC-ICD10CHU|C85.9	Lymphome non hodgkinien, non précisé	Q18557998	n/a	n/a	n/a
C88.7	PMSI:DIAGNOSTIC-ICD10CHU|C88.7	Autres maladies immunoprolifératives malignes	n/a	n/a	n/a	n/a
C91.2	PMSI:DIAGNOSTIC-ICD10CHU|C91.2	Leucémie lymphoïde subaigüe	n/a	n/a	n/a	n/a
C94.6	PMSI:DIAGNOSTIC-ICD10CHU|C94.6	Maladie myélodysplasique et myéloproliférative, non classée ailleurs	n/a	n/a	n/a	n/a
C96.7	PMSI:DIAGNOSTIC-ICD10CHU|C96.7	Autres tumeurs malignes précisées des tissus lymphoïde, hématopoïétique et apparentés	n/a	n/a	n/a	n/a
C96.9	PMSI:DIAGNOSTIC-ICD10CHU|C96.9	Tumeur maligne des tissus lymphoïde, hématopoïétique et apparentés, sans précision	n/a	n/a	n/a	n/a
D01.7	PMSI:DIAGNOSTIC-ICD10CHU|D01.7	Carcinome in situ : Autres organes digestifs précisés	n/a	n/a	n/a	n/a
D02.3	PMSI:DIAGNOSTIC-ICD10CHU|D02.3	Carcinome in situ : Autres parties de l'appareil respiratoire	n/a	n/a	n/a	n/a
D03.7	PMSI:DIAGNOSTIC-ICD10CHU|D03.7	Mélanome in situ du membre inférieur, y compris la hanche	n/a	n/a	n/a	n/a
