CIS	CISLabel	drugClass	drugClassLabel
CIS62129870	NIFEDIPINE MYLAN L.P. 20 mg, comprimé à libération prolongée	http://www.romedi.fr/romedi/DrugClass4	antihypertenseurs
CIS61636187	NIFEDIPINE MYLAN L.P.30 mg, comprimé pelliculé à libération prolongée	http://www.romedi.fr/romedi/DrugClass10014	antagonistes des canaux calciques
CIS61636187	NIFEDIPINE MYLAN L.P.30 mg, comprimé pelliculé à libération prolongée	http://www.romedi.fr/romedi/DrugClass10029	antihypertenseurs sauf alpha-bloquants
CIS61636187	NIFEDIPINE MYLAN L.P.30 mg, comprimé pelliculé à libération prolongée	http://www.romedi.fr/romedi/DrugClass10058	dihydropyridines
CIS61636187	NIFEDIPINE MYLAN L.P.30 mg, comprimé pelliculé à libération prolongée	http://www.romedi.fr/romedi/DrugClass10108	médicaments abaissant la pression artérielle
CIS61636187	NIFEDIPINE MYLAN L.P.30 mg, comprimé pelliculé à libération prolongée	http://www.romedi.fr/romedi/DrugClass4	antihypertenseurs
CIS61387533	NIFEDIPINE EG L.P. 30 mg, comprimé pelliculé à libération prolongée	http://www.romedi.fr/romedi/DrugClass10014	antagonistes des canaux calciques
CIS61387533	NIFEDIPINE EG L.P. 30 mg, comprimé pelliculé à libération prolongée	http://www.romedi.fr/romedi/DrugClass10029	antihypertenseurs sauf alpha-bloquants
CIS61387533	NIFEDIPINE EG L.P. 30 mg, comprimé pelliculé à libération prolongée	http://www.romedi.fr/romedi/DrugClass10058	dihydropyridines
CIS61387533	NIFEDIPINE EG L.P. 30 mg, comprimé pelliculé à libération prolongée	http://www.romedi.fr/romedi/DrugClass10108	médicaments abaissant la pression artérielle
CIS61387533	NIFEDIPINE EG L.P. 30 mg, comprimé pelliculé à libération prolongée	http://www.romedi.fr/romedi/DrugClass4	antihypertenseurs
CIS64893386	NIFEDIPINE SANDOZ L.P. 30 mg, comprimé pelliculé à libération prolongée	http://www.romedi.fr/romedi/DrugClass10014	antagonistes des canaux calciques
CIS64893386	NIFEDIPINE SANDOZ L.P. 30 mg, comprimé pelliculé à libération prolongée	http://www.romedi.fr/romedi/DrugClass10029	antihypertenseurs sauf alpha-bloquants
CIS64893386	NIFEDIPINE SANDOZ L.P. 30 mg, comprimé pelliculé à libération prolongée	http://www.romedi.fr/romedi/DrugClass10058	dihydropyridines
CIS64893386	NIFEDIPINE SANDOZ L.P. 30 mg, comprimé pelliculé à libération prolongée	http://www.romedi.fr/romedi/DrugClass10108	médicaments abaissant la pression artérielle
CIS64893386	NIFEDIPINE SANDOZ L.P. 30 mg, comprimé pelliculé à libération prolongée	http://www.romedi.fr/romedi/DrugClass4	antihypertenseurs
CIS65904960	NIFEDIPINE RANBAXY L.P. 30 mg, comprimé pelliculé à libération prolongée	http://www.romedi.fr/romedi/DrugClass10014	antagonistes des canaux calciques
CIS65904960	NIFEDIPINE RANBAXY L.P. 30 mg, comprimé pelliculé à libération prolongée	http://www.romedi.fr/romedi/DrugClass10029	antihypertenseurs sauf alpha-bloquants
CIS65904960	NIFEDIPINE RANBAXY L.P. 30 mg, comprimé pelliculé à libération prolongée	http://www.romedi.fr/romedi/DrugClass10058	dihydropyridines
CIS65904960	NIFEDIPINE RANBAXY L.P. 30 mg, comprimé pelliculé à libération prolongée	http://www.romedi.fr/romedi/DrugClass10108	médicaments abaissant la pression artérielle
CIS65904960	NIFEDIPINE RANBAXY L.P. 30 mg, comprimé pelliculé à libération prolongée	http://www.romedi.fr/romedi/DrugClass4	antihypertenseurs
CIS67866775	TENORDATE, gélule	http://www.romedi.fr/romedi/DrugClass10014	antagonistes des canaux calciques
CIS67866775	TENORDATE, gélule	http://www.romedi.fr/romedi/DrugClass10029	antihypertenseurs sauf alpha-bloquants
CIS67866775	TENORDATE, gélule	http://www.romedi.fr/romedi/DrugClass10044	bêta-bloquants (sauf esmolol et sotalol)
CIS67866775	TENORDATE, gélule	http://www.romedi.fr/romedi/DrugClass10045	bêta-bloquants (sauf esmolol)
CIS67866775	TENORDATE, gélule	http://www.romedi.fr/romedi/DrugClass10049	bradycardisants
CIS67866775	TENORDATE, gélule	http://www.romedi.fr/romedi/DrugClass10058	dihydropyridines
CIS67866775	TENORDATE, gélule	http://www.romedi.fr/romedi/DrugClass10108	médicaments abaissant la pression artérielle
CIS67866775	TENORDATE, gélule	http://www.romedi.fr/romedi/DrugClass10140	substances à absorption réduite par les topiques gastro-intestinaux, antiacides et adsorbants
CIS67866775	TENORDATE, gélule	http://www.romedi.fr/romedi/DrugClass4	antihypertenseurs
CIS68540330	NIFEDIPINE RPG LP 20 mg, comprimé enrobé à libération prolongée	http://www.romedi.fr/romedi/DrugClass10014	antagonistes des canaux calciques
CIS68540330	NIFEDIPINE RPG LP 20 mg, comprimé enrobé à libération prolongée	http://www.romedi.fr/romedi/DrugClass10029	antihypertenseurs sauf alpha-bloquants
CIS68540330	NIFEDIPINE RPG LP 20 mg, comprimé enrobé à libération prolongée	http://www.romedi.fr/romedi/DrugClass10058	dihydropyridines
CIS68540330	NIFEDIPINE RPG LP 20 mg, comprimé enrobé à libération prolongée	http://www.romedi.fr/romedi/DrugClass10108	médicaments abaissant la pression artérielle
CIS68540330	NIFEDIPINE RPG LP 20 mg, comprimé enrobé à libération prolongée	http://www.romedi.fr/romedi/DrugClass4	antihypertenseurs
CIS69805340	CHRONADALATE L.P. 30 mg, comprimé osmotique pelliculé à libération prolongée	http://www.romedi.fr/romedi/DrugClass10014	antagonistes des canaux calciques
CIS69805340	CHRONADALATE L.P. 30 mg, comprimé osmotique pelliculé à libération prolongée	http://www.romedi.fr/romedi/DrugClass10029	antihypertenseurs sauf alpha-bloquants
CIS69805340	CHRONADALATE L.P. 30 mg, comprimé osmotique pelliculé à libération prolongée	http://www.romedi.fr/romedi/DrugClass10058	dihydropyridines
CIS69805340	CHRONADALATE L.P. 30 mg, comprimé osmotique pelliculé à libération prolongée	http://www.romedi.fr/romedi/DrugClass10108	médicaments abaissant la pression artérielle
CIS69805340	CHRONADALATE L.P. 30 mg, comprimé osmotique pelliculé à libération prolongée	http://www.romedi.fr/romedi/DrugClass4	antihypertenseurs
CIS66932763	NIFEDIPINE ARROW L.P. 30 mg, comprimé pelliculé à libération prolongée	http://www.romedi.fr/romedi/DrugClass10014	antagonistes des canaux calciques
CIS66932763	NIFEDIPINE ARROW L.P. 30 mg, comprimé pelliculé à libération prolongée	http://www.romedi.fr/romedi/DrugClass10029	antihypertenseurs sauf alpha-bloquants
CIS66932763	NIFEDIPINE ARROW L.P. 30 mg, comprimé pelliculé à libération prolongée	http://www.romedi.fr/romedi/DrugClass10058	dihydropyridines
CIS66932763	NIFEDIPINE ARROW L.P. 30 mg, comprimé pelliculé à libération prolongée	http://www.romedi.fr/romedi/DrugClass10108	médicaments abaissant la pression artérielle
CIS66932763	NIFEDIPINE ARROW L.P. 30 mg, comprimé pelliculé à libération prolongée	http://www.romedi.fr/romedi/DrugClass4	antihypertenseurs
CIS66702214	ATENOLOL/NIFEDIPINE MYLAN 50 mg/20 mg, gélule	http://www.romedi.fr/romedi/DrugClass10014	antagonistes des canaux calciques
CIS66702214	ATENOLOL/NIFEDIPINE MYLAN 50 mg/20 mg, gélule	http://www.romedi.fr/romedi/DrugClass10029	antihypertenseurs sauf alpha-bloquants
CIS66702214	ATENOLOL/NIFEDIPINE MYLAN 50 mg/20 mg, gélule	http://www.romedi.fr/romedi/DrugClass10044	bêta-bloquants (sauf esmolol et sotalol)
CIS66702214	ATENOLOL/NIFEDIPINE MYLAN 50 mg/20 mg, gélule	http://www.romedi.fr/romedi/DrugClass10045	bêta-bloquants (sauf esmolol)
CIS66702214	ATENOLOL/NIFEDIPINE MYLAN 50 mg/20 mg, gélule	http://www.romedi.fr/romedi/DrugClass10049	bradycardisants
CIS66702214	ATENOLOL/NIFEDIPINE MYLAN 50 mg/20 mg, gélule	http://www.romedi.fr/romedi/DrugClass10058	dihydropyridines
CIS66702214	ATENOLOL/NIFEDIPINE MYLAN 50 mg/20 mg, gélule	http://www.romedi.fr/romedi/DrugClass10108	médicaments abaissant la pression artérielle
CIS66702214	ATENOLOL/NIFEDIPINE MYLAN 50 mg/20 mg, gélule	http://www.romedi.fr/romedi/DrugClass10140	substances à absorption réduite par les topiques gastro-intestinaux, antiacides et adsorbants
CIS66702214	ATENOLOL/NIFEDIPINE MYLAN 50 mg/20 mg, gélule	http://www.romedi.fr/romedi/DrugClass4	antihypertenseurs
CIS66663373	ATENOLOL/NIFEDIPINE BIOGARAN 50 mg/20 mg, gélule	http://www.romedi.fr/romedi/DrugClass10014	antagonistes des canaux calciques
CIS66663373	ATENOLOL/NIFEDIPINE BIOGARAN 50 mg/20 mg, gélule	http://www.romedi.fr/romedi/DrugClass10029	antihypertenseurs sauf alpha-bloquants
CIS66663373	ATENOLOL/NIFEDIPINE BIOGARAN 50 mg/20 mg, gélule	http://www.romedi.fr/romedi/DrugClass10044	bêta-bloquants (sauf esmolol et sotalol)
CIS66663373	ATENOLOL/NIFEDIPINE BIOGARAN 50 mg/20 mg, gélule	http://www.romedi.fr/romedi/DrugClass10045	bêta-bloquants (sauf esmolol)
CIS66663373	ATENOLOL/NIFEDIPINE BIOGARAN 50 mg/20 mg, gélule	http://www.romedi.fr/romedi/DrugClass10049	bradycardisants
CIS66663373	ATENOLOL/NIFEDIPINE BIOGARAN 50 mg/20 mg, gélule	http://www.romedi.fr/romedi/DrugClass10058	dihydropyridines
CIS66663373	ATENOLOL/NIFEDIPINE BIOGARAN 50 mg/20 mg, gélule	http://www.romedi.fr/romedi/DrugClass10108	médicaments abaissant la pression artérielle
CIS66663373	ATENOLOL/NIFEDIPINE BIOGARAN 50 mg/20 mg, gélule	http://www.romedi.fr/romedi/DrugClass10140	substances à absorption réduite par les topiques gastro-intestinaux, antiacides et adsorbants
CIS66663373	ATENOLOL/NIFEDIPINE BIOGARAN 50 mg/20 mg, gélule	http://www.romedi.fr/romedi/DrugClass4	antihypertenseurs
CIS61355763	LANGORAN L.P. 40 mg, gélule à libération prolongée	http://www.romedi.fr/romedi/DrugClass10057	dérivés nitrés et apparentés
CIS61355763	LANGORAN L.P. 40 mg, gélule à libération prolongée	http://www.romedi.fr/romedi/DrugClass10106	médicaments à l'origine d'une hypotension orthostatique
CIS60619306	MONICOR L P 40 mg, gélule à libération prolongée	http://www.romedi.fr/romedi/DrugClass10057	dérivés nitrés et apparentés
CIS60619306	MONICOR L P 40 mg, gélule à libération prolongée	http://www.romedi.fr/romedi/DrugClass10106	médicaments à l'origine d'une hypotension orthostatique
CIS60144966	MONICOR L.P. 60 mg, gélule à libération prolongée	http://www.romedi.fr/romedi/DrugClass10057	dérivés nitrés et apparentés
CIS60144966	MONICOR L.P. 60 mg, gélule à libération prolongée	http://www.romedi.fr/romedi/DrugClass10106	médicaments à l'origine d'une hypotension orthostatique
CIS60172339	ISOCARD, solution sublinguale en flacon pulvérisateur	http://www.romedi.fr/romedi/DrugClass10057	dérivés nitrés et apparentés
CIS60172339	ISOCARD, solution sublinguale en flacon pulvérisateur	http://www.romedi.fr/romedi/DrugClass10106	médicaments à l'origine d'une hypotension orthostatique
CIS62973702	MONICOR L.P. 20 mg, gélule à libération prolongée	http://www.romedi.fr/romedi/DrugClass10057	dérivés nitrés et apparentés
CIS62973702	MONICOR L.P. 20 mg, gélule à libération prolongée	http://www.romedi.fr/romedi/DrugClass10106	médicaments à l'origine d'une hypotension orthostatique
CIS64822161	RISORDAN 10 mg/10 ml, solution injectable (IV, intracoronaire) en ampoule	http://www.romedi.fr/romedi/DrugClass10057	dérivés nitrés et apparentés
CIS64822161	RISORDAN 10 mg/10 ml, solution injectable (IV, intracoronaire) en ampoule	http://www.romedi.fr/romedi/DrugClass10106	médicaments à l'origine d'une hypotension orthostatique
CIS66327091	RISORDAN 20 mg, comprimé sécable	http://www.romedi.fr/romedi/DrugClass10057	dérivés nitrés et apparentés
CIS66327091	RISORDAN 20 mg, comprimé sécable	http://www.romedi.fr/romedi/DrugClass10106	médicaments à l'origine d'une hypotension orthostatique
CIS64766264	ISOSORBIDE MEDISOL 10 mg/10 mL, solution injectable	http://www.romedi.fr/romedi/DrugClass10057	dérivés nitrés et apparentés
CIS64766264	ISOSORBIDE MEDISOL 10 mg/10 mL, solution injectable	http://www.romedi.fr/romedi/DrugClass10106	médicaments à l'origine d'une hypotension orthostatique
CIS69131735	LANGORAN L.P. 20 mg, gélule à libération prolongée	http://www.romedi.fr/romedi/DrugClass10057	dérivés nitrés et apparentés
CIS69131735	LANGORAN L.P. 20 mg, gélule à libération prolongée	http://www.romedi.fr/romedi/DrugClass10106	médicaments à l'origine d'une hypotension orthostatique
CIS62124478	TERALITHE 250 mg, comprimé sécable	http://www.romedi.fr/romedi/DrugClass10105	médicaments à l'origine d'un syndrome sérotoninergique
CIS63672890	LITHIUM OLIGOSOL, solution buvable en ampoule ou en récipient unidose	http://www.romedi.fr/romedi/DrugClass10105	médicaments à l'origine d'un syndrome sérotoninergique
CIS64598133	LITHIODERM 8 %, gel	http://www.romedi.fr/romedi/DrugClass10105	médicaments à l'origine d'un syndrome sérotoninergique
CIS67292476	TERALITHE LP 400 mg, comprimé sécable à libération prolongée	http://www.romedi.fr/romedi/DrugClass10105	médicaments à l'origine d'un syndrome sérotoninergique
CIS61001031	CERNEVIT, poudre pour solution injectable ou pour perfusion	http://www.romedi.fr/romedi/DrugClass10071	folates
CIS61001031	CERNEVIT, poudre pour solution injectable ou pour perfusion	http://www.romedi.fr/romedi/DrugClass10160	vitamine D
CIS64875192	TARDYFERON B9, comprimé pelliculé	http://www.romedi.fr/romedi/DrugClass10071	folates
CIS63160388	BEROCCA, comprimé pelliculé	http://www.romedi.fr/romedi/DrugClass10071	folates
CIS64732689	SPECIAFOLDINE 0,4 mg, comprimé	http://www.romedi.fr/romedi/DrugClass10071	folates
CIS64987202	BEROCCA SANS SUCRE, comprimé effervescent édulcoré à l'aspartam et à l'acésulfame de potassium	http://www.romedi.fr/romedi/DrugClass10071	folates
CIS69630186	SPECIAFOLDINE 5 mg, comprimé	http://www.romedi.fr/romedi/DrugClass10071	folates
CIS67312509	SOLUVIT, lyophilisat pour usage parentéral	http://www.romedi.fr/romedi/DrugClass10071	folates
CIS68502917	ACIDE FOLIQUE CCD 0,4 mg, comprimé	http://www.romedi.fr/romedi/DrugClass10071	folates
CIS69448600	ACIDE FOLIQUE CCD 5 mg, comprimé	http://www.romedi.fr/romedi/DrugClass10071	folates
CIS67320915	ACIDE FOLIQUE ARROW 5 mg, comprimé	http://www.romedi.fr/romedi/DrugClass10071	folates
CIS66831230	FERTIFOL 400 microgrammes, comprimé	http://www.romedi.fr/romedi/DrugClass10071	folates
CIS69661235	ACIDE FOLIQUE MYLAN 5 mg, comprimé	http://www.romedi.fr/romedi/DrugClass10071	folates
CIS61517592	ARACYTINE 100 mg, poudre et solvant pour solution injectable	http://www.romedi.fr/romedi/DrugClass10055	cytotoxiques
CIS66523859	ARACYTINE 2 g, poudre pour solution pour perfusion (I.V.)	http://www.romedi.fr/romedi/DrugClass10055	cytotoxiques
CIS63318475	CYTARABINE ACCORD 100 mg/ml, solution injectable ou pour perfusion	http://www.romedi.fr/romedi/DrugClass10055	cytotoxiques
CIS69737206	ARACYTINE 500 mg, poudre pour solution pour perfusion	http://www.romedi.fr/romedi/DrugClass10055	cytotoxiques
CIS69493862	CYTARABINE EG 20 mg/ml, solution injectable	http://www.romedi.fr/romedi/DrugClass10055	cytotoxiques
CIS61687452	CHLORHYDRATE DE METHADONE ASSISTANCE PUBLIQUE-HÔPITAUX DE PARIS 20 mg/15 ml, sirop en récipient unidose	http://www.romedi.fr/romedi/DrugClass10107	médicaments à risque lors du sevrage tabagique
CIS61687452	CHLORHYDRATE DE METHADONE ASSISTANCE PUBLIQUE-HÔPITAUX DE PARIS 20 mg/15 ml, sirop en récipient unidose	http://www.romedi.fr/romedi/DrugClass10115	médicaments sédatifs
CIS61687452	CHLORHYDRATE DE METHADONE ASSISTANCE PUBLIQUE-HÔPITAUX DE PARIS 20 mg/15 ml, sirop en récipient unidose	http://www.romedi.fr/romedi/DrugClass10118	morphiniques
CIS61687452	CHLORHYDRATE DE METHADONE ASSISTANCE PUBLIQUE-HÔPITAUX DE PARIS 20 mg/15 ml, sirop en récipient unidose	http://www.romedi.fr/romedi/DrugClass10121	morphiniques en traitement de substitution
CIS61687452	CHLORHYDRATE DE METHADONE ASSISTANCE PUBLIQUE-HÔPITAUX DE PARIS 20 mg/15 ml, sirop en récipient unidose	http://www.romedi.fr/romedi/DrugClass10141	substances susceptibles de donner des torsades de pointes
CIS61144346	CHLORHYDRATE DE METHADONE ASSISTANCE PUBLIQUE-HOPITAUX DE PARIS 5 mg/3,75 ml, sirop en récipient unidose	http://www.romedi.fr/romedi/DrugClass10107	médicaments à risque lors du sevrage tabagique
CIS61144346	CHLORHYDRATE DE METHADONE ASSISTANCE PUBLIQUE-HOPITAUX DE PARIS 5 mg/3,75 ml, sirop en récipient unidose	http://www.romedi.fr/romedi/DrugClass10115	médicaments sédatifs
CIS61144346	CHLORHYDRATE DE METHADONE ASSISTANCE PUBLIQUE-HOPITAUX DE PARIS 5 mg/3,75 ml, sirop en récipient unidose	http://www.romedi.fr/romedi/DrugClass10118	morphiniques
CIS61144346	CHLORHYDRATE DE METHADONE ASSISTANCE PUBLIQUE-HOPITAUX DE PARIS 5 mg/3,75 ml, sirop en récipient unidose	http://www.romedi.fr/romedi/DrugClass10121	morphiniques en traitement de substitution
CIS61144346	CHLORHYDRATE DE METHADONE ASSISTANCE PUBLIQUE-HOPITAUX DE PARIS 5 mg/3,75 ml, sirop en récipient unidose	http://www.romedi.fr/romedi/DrugClass10141	substances susceptibles de donner des torsades de pointes
CIS61610484	CHLORHYDRATE DE METHADONE ASSISTANCE PUBLIQUE - HOPITAUX DE PARIS 60 mg/15 ml, sirop en récipient unidose	http://www.romedi.fr/romedi/DrugClass10107	médicaments à risque lors du sevrage tabagique
CIS61610484	CHLORHYDRATE DE METHADONE ASSISTANCE PUBLIQUE - HOPITAUX DE PARIS 60 mg/15 ml, sirop en récipient unidose	http://www.romedi.fr/romedi/DrugClass10115	médicaments sédatifs
CIS61610484	CHLORHYDRATE DE METHADONE ASSISTANCE PUBLIQUE - HOPITAUX DE PARIS 60 mg/15 ml, sirop en récipient unidose	http://www.romedi.fr/romedi/DrugClass10118	morphiniques
CIS61610484	CHLORHYDRATE DE METHADONE ASSISTANCE PUBLIQUE - HOPITAUX DE PARIS 60 mg/15 ml, sirop en récipient unidose	http://www.romedi.fr/romedi/DrugClass10121	morphiniques en traitement de substitution
CIS61610484	CHLORHYDRATE DE METHADONE ASSISTANCE PUBLIQUE - HOPITAUX DE PARIS 60 mg/15 ml, sirop en récipient unidose	http://www.romedi.fr/romedi/DrugClass10141	substances susceptibles de donner des torsades de pointes
CIS63644827	CHLORHYDRATE DE METHADONE ASSISTANCE PUBLIQUE - HOPITAUX DE PARIS 40 mg/15 ml, sirop en récipient unidose	http://www.romedi.fr/romedi/DrugClass10107	médicaments à risque lors du sevrage tabagique
CIS63644827	CHLORHYDRATE DE METHADONE ASSISTANCE PUBLIQUE - HOPITAUX DE PARIS 40 mg/15 ml, sirop en récipient unidose	http://www.romedi.fr/romedi/DrugClass10115	médicaments sédatifs
CIS63644827	CHLORHYDRATE DE METHADONE ASSISTANCE PUBLIQUE - HOPITAUX DE PARIS 40 mg/15 ml, sirop en récipient unidose	http://www.romedi.fr/romedi/DrugClass10118	morphiniques
CIS63644827	CHLORHYDRATE DE METHADONE ASSISTANCE PUBLIQUE - HOPITAUX DE PARIS 40 mg/15 ml, sirop en récipient unidose	http://www.romedi.fr/romedi/DrugClass10121	morphiniques en traitement de substitution
CIS63644827	CHLORHYDRATE DE METHADONE ASSISTANCE PUBLIQUE - HOPITAUX DE PARIS 40 mg/15 ml, sirop en récipient unidose	http://www.romedi.fr/romedi/DrugClass10141	substances susceptibles de donner des torsades de pointes
CIS60998856	METHADONE AP-HP 10 mg, gélule	http://www.romedi.fr/romedi/DrugClass10107	médicaments à risque lors du sevrage tabagique
CIS60998856	METHADONE AP-HP 10 mg, gélule	http://www.romedi.fr/romedi/DrugClass10115	médicaments sédatifs
CIS60998856	METHADONE AP-HP 10 mg, gélule	http://www.romedi.fr/romedi/DrugClass10118	morphiniques
CIS60998856	METHADONE AP-HP 10 mg, gélule	http://www.romedi.fr/romedi/DrugClass10121	morphiniques en traitement de substitution
CIS60998856	METHADONE AP-HP 10 mg, gélule	http://www.romedi.fr/romedi/DrugClass10141	substances susceptibles de donner des torsades de pointes
CIS63009443	METHADONE AP-HP 20 mg, gélule	http://www.romedi.fr/romedi/DrugClass10107	médicaments à risque lors du sevrage tabagique
CIS63009443	METHADONE AP-HP 20 mg, gélule	http://www.romedi.fr/romedi/DrugClass10115	médicaments sédatifs
CIS63009443	METHADONE AP-HP 20 mg, gélule	http://www.romedi.fr/romedi/DrugClass10118	morphiniques
CIS63009443	METHADONE AP-HP 20 mg, gélule	http://www.romedi.fr/romedi/DrugClass10121	morphiniques en traitement de substitution
CIS63009443	METHADONE AP-HP 20 mg, gélule	http://www.romedi.fr/romedi/DrugClass10141	substances susceptibles de donner des torsades de pointes
CIS65738008	METHADONE AP-HP 40 mg, gélule	http://www.romedi.fr/romedi/DrugClass10107	médicaments à risque lors du sevrage tabagique
CIS65738008	METHADONE AP-HP 40 mg, gélule	http://www.romedi.fr/romedi/DrugClass10115	médicaments sédatifs
CIS65738008	METHADONE AP-HP 40 mg, gélule	http://www.romedi.fr/romedi/DrugClass10118	morphiniques
CIS65738008	METHADONE AP-HP 40 mg, gélule	http://www.romedi.fr/romedi/DrugClass10121	morphiniques en traitement de substitution
CIS65738008	METHADONE AP-HP 40 mg, gélule	http://www.romedi.fr/romedi/DrugClass10141	substances susceptibles de donner des torsades de pointes
CIS68874401	CHLORHYDRATE DE METHADONE ASSISTANCE PUBLIQUE-HÔPITAUX DE PARIS 10 mg/7,5 ml, sirop en récipient unidose	http://www.romedi.fr/romedi/DrugClass10107	médicaments à risque lors du sevrage tabagique
CIS68874401	CHLORHYDRATE DE METHADONE ASSISTANCE PUBLIQUE-HÔPITAUX DE PARIS 10 mg/7,5 ml, sirop en récipient unidose	http://www.romedi.fr/romedi/DrugClass10115	médicaments sédatifs
CIS68874401	CHLORHYDRATE DE METHADONE ASSISTANCE PUBLIQUE-HÔPITAUX DE PARIS 10 mg/7,5 ml, sirop en récipient unidose	http://www.romedi.fr/romedi/DrugClass10118	morphiniques
CIS68874401	CHLORHYDRATE DE METHADONE ASSISTANCE PUBLIQUE-HÔPITAUX DE PARIS 10 mg/7,5 ml, sirop en récipient unidose	http://www.romedi.fr/romedi/DrugClass10121	morphiniques en traitement de substitution
