diseaseWikidata	prefLabel	wikidata	CUI	synonyms	weight
Q264118	anémie	Q5445	['C0002871', 'C0162119']	"['anémie', 'anémie, non précisée', 'anémie non précisée', 'anémie sai', 'anemie', 'hémoglobine diminuée', 'hémoglobine basse', ""diminution du taux d'hemoglobine"", 'hémogobine diminuée', 'hb diminuée']"	0.1
Q2076966	anémie	Q5445	['C0002871', 'C0162119']	"['anémie', 'anémie, non précisée', 'anémie non précisée', 'anémie sai', 'anemie', 'hémoglobine diminuée', 'hémoglobine basse', ""diminution du taux d'hemoglobine"", 'hémogobine diminuée', 'hb diminuée']"	0.1
Q3234995	anémie	Q5445	['C0002871', 'C0162119']	"['anémie', 'anémie, non précisée', 'anémie non précisée', 'anémie sai', 'anemie', 'hémoglobine diminuée', 'hémoglobine basse', ""diminution du taux d'hemoglobine"", 'hémogobine diminuée', 'hb diminuée']"	0.1
Q3508664	anémie	Q5445	['C0002871', 'C0162119']	"['anémie', 'anémie, non précisée', 'anémie non précisée', 'anémie sai', 'anemie', 'hémoglobine diminuée', 'hémoglobine basse', ""diminution du taux d'hemoglobine"", 'hémogobine diminuée', 'hb diminuée']"	0.1
Q4463309	anémie	Q5445	['C0002871', 'C0162119']	"['anémie', 'anémie, non précisée', 'anémie non précisée', 'anémie sai', 'anemie', 'hémoglobine diminuée', 'hémoglobine basse', ""diminution du taux d'hemoglobine"", 'hémogobine diminuée', 'hb diminuée']"	0.1
Q6972442	anémie	Q5445	['C0002871', 'C0162119']	"['anémie', 'anémie, non précisée', 'anémie non précisée', 'anémie sai', 'anemie', 'hémoglobine diminuée', 'hémoglobine basse', ""diminution du taux d'hemoglobine"", 'hémogobine diminuée', 'hb diminuée']"	0.1
Q9081107	anémie	Q5445	['C0002871', 'C0162119']	"['anémie', 'anémie, non précisée', 'anémie non précisée', 'anémie sai', 'anemie', 'hémoglobine diminuée', 'hémoglobine basse', ""diminution du taux d'hemoglobine"", 'hémogobine diminuée', 'hb diminuée']"	0.1
Q12656487	anémie	Q5445	['C0002871', 'C0162119']	"['anémie', 'anémie, non précisée', 'anémie non précisée', 'anémie sai', 'anemie', 'hémoglobine diminuée', 'hémoglobine basse', ""diminution du taux d'hemoglobine"", 'hémogobine diminuée', 'hb diminuée']"	0.1
Q706845	hépatite	Q131742	['C0019189', 'C0001308', 'C0019158', 'C0149519']	['hépatite chronique sai', 'hépatite chronique, non précisée', 'hépatite chronique', 'nécrose hépatique aiguë et sous-aiguë', 'hépatite sai', 'hépatite, non précisée', 'hepatite', 'inflammation du foie', 'hepatite sai', 'hépatite', 'hépatite non spécifique', 'hépatite chronique persistante']	0.5
Q18371582	hépatite	Q131742	['C0019189', 'C0001308', 'C0019158', 'C0149519']	['hépatite chronique sai', 'hépatite chronique, non précisée', 'hépatite chronique', 'nécrose hépatique aiguë et sous-aiguë', 'hépatite sai', 'hépatite, non précisée', 'hepatite', 'inflammation du foie', 'hepatite sai', 'hépatite', 'hépatite non spécifique', 'hépatite chronique persistante']	0.5
Q39222	hallucination	Q130741	['C0018524', 'C0235153']	['hallucinant', 'hallucination', 'hallucinations', 'hallucination sai', 'hallucinations sensorielles']	0.2
Q131755	hallucination	Q130741	['C0018524', 'C0235153']	['hallucinant', 'hallucination', 'hallucinations', 'hallucination sai', 'hallucinations sensorielles']	0.2
Q462833	hallucination	Q130741	['C0018524', 'C0235153']	['hallucinant', 'hallucination', 'hallucinations', 'hallucination sai', 'hallucinations sensorielles']	0.2
Q1331905	hallucination	Q130741	['C0018524', 'C0235153']	['hallucinant', 'hallucination', 'hallucinations', 'hallucination sai', 'hallucinations sensorielles']	0.2
Q4132716	hallucination	Q130741	['C0018524', 'C0235153']	['hallucinant', 'hallucination', 'hallucinations', 'hallucination sai', 'hallucinations sensorielles']	0.2
Q12214	céphalée	Q86	['C0018681']	['céphalgie', 'céphalalgie', 'douleur crânienne', 'douleur dans la tête', 'maux de tête', 'mal de tête', 'céphalée sai', 'gene dans la tete', 'mal de tete', 'céphalées', 'cephalalgie', 'cephalees (sf n02 n89 r09)', 'céphalée', 'céphalodynie', 'cephalees']	0.019
Q30953	céphalée	Q86	['C0018681']	['céphalgie', 'céphalalgie', 'douleur crânienne', 'douleur dans la tête', 'maux de tête', 'mal de tête', 'céphalée sai', 'gene dans la tete', 'mal de tete', 'céphalées', 'cephalalgie', 'cephalees (sf n02 n89 r09)', 'céphalée', 'céphalodynie', 'cephalees']	0.019
Q39222	céphalée	Q86	['C0018681']	['céphalgie', 'céphalalgie', 'douleur crânienne', 'douleur dans la tête', 'maux de tête', 'mal de tête', 'céphalée sai', 'gene dans la tete', 'mal de tete', 'céphalées', 'cephalalgie', 'cephalees (sf n02 n89 r09)', 'céphalée', 'céphalodynie', 'cephalees']	0.019
Q47790	céphalée	Q86	['C0018681']	['céphalgie', 'céphalalgie', 'douleur crânienne', 'douleur dans la tête', 'maux de tête', 'mal de tête', 'céphalée sai', 'gene dans la tete', 'mal de tete', 'céphalées', 'cephalalgie', 'cephalees (sf n02 n89 r09)', 'céphalée', 'céphalodynie', 'cephalees']	0.019
Q48143	céphalée	Q86	['C0018681']	['céphalgie', 'céphalalgie', 'douleur crânienne', 'douleur dans la tête', 'maux de tête', 'mal de tête', 'céphalée sai', 'gene dans la tete', 'mal de tete', 'céphalées', 'cephalalgie', 'cephalees (sf n02 n89 r09)', 'céphalée', 'céphalodynie', 'cephalees']	0.019
Q83319	céphalée	Q86	['C0018681']	['céphalgie', 'céphalalgie', 'douleur crânienne', 'douleur dans la tête', 'maux de tête', 'mal de tête', 'céphalée sai', 'gene dans la tete', 'mal de tete', 'céphalées', 'cephalalgie', 'cephalees (sf n02 n89 r09)', 'céphalée', 'céphalodynie', 'cephalees']	0.019
Q114085	céphalée	Q86	['C0018681']	['céphalgie', 'céphalalgie', 'douleur crânienne', 'douleur dans la tête', 'maux de tête', 'mal de tête', 'céphalée sai', 'gene dans la tete', 'mal de tete', 'céphalées', 'cephalalgie', 'cephalees (sf n02 n89 r09)', 'céphalée', 'céphalodynie', 'cephalees']	0.019
Q133780	céphalée	Q86	['C0018681']	['céphalgie', 'céphalalgie', 'douleur crânienne', 'douleur dans la tête', 'maux de tête', 'mal de tête', 'céphalée sai', 'gene dans la tete', 'mal de tete', 'céphalées', 'cephalalgie', 'cephalees (sf n02 n89 r09)', 'céphalée', 'céphalodynie', 'cephalees']	0.019
Q133823	céphalée	Q86	['C0018681']	['céphalgie', 'céphalalgie', 'douleur crânienne', 'douleur dans la tête', 'maux de tête', 'mal de tête', 'céphalée sai', 'gene dans la tete', 'mal de tete', 'céphalées', 'cephalalgie', 'cephalees (sf n02 n89 r09)', 'céphalée', 'céphalodynie', 'cephalees']	0.019
Q154874	céphalée	Q86	['C0018681']	['céphalgie', 'céphalalgie', 'douleur crânienne', 'douleur dans la tête', 'maux de tête', 'mal de tête', 'céphalée sai', 'gene dans la tete', 'mal de tete', 'céphalées', 'cephalalgie', 'cephalees (sf n02 n89 r09)', 'céphalée', 'céphalodynie', 'cephalees']	0.019
Q154882	céphalée	Q86	['C0018681']	['céphalgie', 'céphalalgie', 'douleur crânienne', 'douleur dans la tête', 'maux de tête', 'mal de tête', 'céphalée sai', 'gene dans la tete', 'mal de tete', 'céphalées', 'cephalalgie', 'cephalees (sf n02 n89 r09)', 'céphalée', 'céphalodynie', 'cephalees']	0.019
Q155098	céphalée	Q86	['C0018681']	['céphalgie', 'céphalalgie', 'douleur crânienne', 'douleur dans la tête', 'maux de tête', 'mal de tête', 'céphalée sai', 'gene dans la tete', 'mal de tete', 'céphalées', 'cephalalgie', 'cephalees (sf n02 n89 r09)', 'céphalée', 'céphalodynie', 'cephalees']	0.019
Q164727	céphalée	Q86	['C0018681']	['céphalgie', 'céphalalgie', 'douleur crânienne', 'douleur dans la tête', 'maux de tête', 'mal de tête', 'céphalée sai', 'gene dans la tete', 'mal de tete', 'céphalées', 'cephalalgie', 'cephalees (sf n02 n89 r09)', 'céphalée', 'céphalodynie', 'cephalees']	0.019
Q164818	céphalée	Q86	['C0018681']	['céphalgie', 'céphalalgie', 'douleur crânienne', 'douleur dans la tête', 'maux de tête', 'mal de tête', 'céphalée sai', 'gene dans la tete', 'mal de tete', 'céphalées', 'cephalalgie', 'cephalees (sf n02 n89 r09)', 'céphalée', 'céphalodynie', 'cephalees']	0.019
Q166907	céphalée	Q86	['C0018681']	['céphalgie', 'céphalalgie', 'douleur crânienne', 'douleur dans la tête', 'maux de tête', 'mal de tête', 'céphalée sai', 'gene dans la tete', 'mal de tete', 'céphalées', 'cephalalgie', 'cephalees (sf n02 n89 r09)', 'céphalée', 'céphalodynie', 'cephalees']	0.019
Q167264	céphalée	Q86	['C0018681']	['céphalgie', 'céphalalgie', 'douleur crânienne', 'douleur dans la tête', 'maux de tête', 'mal de tête', 'céphalée sai', 'gene dans la tete', 'mal de tete', 'céphalées', 'cephalalgie', 'cephalees (sf n02 n89 r09)', 'céphalée', 'céphalodynie', 'cephalees']	0.019
Q182155	céphalée	Q86	['C0018681']	['céphalgie', 'céphalalgie', 'douleur crânienne', 'douleur dans la tête', 'maux de tête', 'mal de tête', 'céphalée sai', 'gene dans la tete', 'mal de tete', 'céphalées', 'cephalalgie', 'cephalees (sf n02 n89 r09)', 'céphalée', 'céphalodynie', 'cephalees']	0.019
Q192579	céphalée	Q86	['C0018681']	['céphalgie', 'céphalalgie', 'douleur crânienne', 'douleur dans la tête', 'maux de tête', 'mal de tête', 'céphalée sai', 'gene dans la tete', 'mal de tete', 'céphalées', 'cephalalgie', 'cephalees (sf n02 n89 r09)', 'céphalée', 'céphalodynie', 'cephalees']	0.019
Q201989	céphalée	Q86	['C0018681']	['céphalgie', 'céphalalgie', 'douleur crânienne', 'douleur dans la tête', 'maux de tête', 'mal de tête', 'céphalée sai', 'gene dans la tete', 'mal de tete', 'céphalées', 'cephalalgie', 'cephalees (sf n02 n89 r09)', 'céphalée', 'céphalodynie', 'cephalees']	0.019
Q203133	céphalée	Q86	['C0018681']	['céphalgie', 'céphalalgie', 'douleur crânienne', 'douleur dans la tête', 'maux de tête', 'mal de tête', 'céphalée sai', 'gene dans la tete', 'mal de tete', 'céphalées', 'cephalalgie', 'cephalees (sf n02 n89 r09)', 'céphalée', 'céphalodynie', 'cephalees']	0.019
Q209733	céphalée	Q86	['C0018681']	['céphalgie', 'céphalalgie', 'douleur crânienne', 'douleur dans la tête', 'maux de tête', 'mal de tête', 'céphalée sai', 'gene dans la tete', 'mal de tete', 'céphalées', 'cephalalgie', 'cephalees (sf n02 n89 r09)', 'céphalée', 'céphalodynie', 'cephalees']	0.019
Q220193	céphalée	Q86	['C0018681']	['céphalgie', 'céphalalgie', 'douleur crânienne', 'douleur dans la tête', 'maux de tête', 'mal de tête', 'céphalée sai', 'gene dans la tete', 'mal de tete', 'céphalées', 'cephalalgie', 'cephalees (sf n02 n89 r09)', 'céphalée', 'céphalodynie', 'cephalees']	0.019
Q243257	céphalée	Q86	['C0018681']	['céphalgie', 'céphalalgie', 'douleur crânienne', 'douleur dans la tête', 'maux de tête', 'mal de tête', 'céphalée sai', 'gene dans la tete', 'mal de tete', 'céphalées', 'cephalalgie', 'cephalees (sf n02 n89 r09)', 'céphalée', 'céphalodynie', 'cephalees']	0.019
Q272002	céphalée	Q86	['C0018681']	['céphalgie', 'céphalalgie', 'douleur crânienne', 'douleur dans la tête', 'maux de tête', 'mal de tête', 'céphalée sai', 'gene dans la tete', 'mal de tete', 'céphalées', 'cephalalgie', 'cephalees (sf n02 n89 r09)', 'céphalée', 'céphalodynie', 'cephalees']	0.019
Q326071	céphalée	Q86	['C0018681']	['céphalgie', 'céphalalgie', 'douleur crânienne', 'douleur dans la tête', 'maux de tête', 'mal de tête', 'céphalée sai', 'gene dans la tete', 'mal de tete', 'céphalées', 'cephalalgie', 'cephalees (sf n02 n89 r09)', 'céphalée', 'céphalodynie', 'cephalees']	0.019
Q326638	céphalée	Q86	['C0018681']	['céphalgie', 'céphalalgie', 'douleur crânienne', 'douleur dans la tête', 'maux de tête', 'mal de tête', 'céphalée sai', 'gene dans la tete', 'mal de tete', 'céphalées', 'cephalalgie', 'cephalees (sf n02 n89 r09)', 'céphalée', 'céphalodynie', 'cephalees']	0.019
Q326663	céphalée	Q86	['C0018681']	['céphalgie', 'céphalalgie', 'douleur crânienne', 'douleur dans la tête', 'maux de tête', 'mal de tête', 'céphalée sai', 'gene dans la tete', 'mal de tete', 'céphalées', 'cephalalgie', 'cephalees (sf n02 n89 r09)', 'céphalée', 'céphalodynie', 'cephalees']	0.019
Q382370	céphalée	Q86	['C0018681']	['céphalgie', 'céphalalgie', 'douleur crânienne', 'douleur dans la tête', 'maux de tête', 'mal de tête', 'céphalée sai', 'gene dans la tete', 'mal de tete', 'céphalées', 'cephalalgie', 'cephalees (sf n02 n89 r09)', 'céphalée', 'céphalodynie', 'cephalees']	0.019
Q408089	céphalée	Q86	['C0018681']	['céphalgie', 'céphalalgie', 'douleur crânienne', 'douleur dans la tête', 'maux de tête', 'mal de tête', 'céphalée sai', 'gene dans la tete', 'mal de tete', 'céphalées', 'cephalalgie', 'cephalees (sf n02 n89 r09)', 'céphalée', 'céphalodynie', 'cephalees']	0.019
Q683861	céphalée	Q86	['C0018681']	['céphalgie', 'céphalalgie', 'douleur crânienne', 'douleur dans la tête', 'maux de tête', 'mal de tête', 'céphalée sai', 'gene dans la tete', 'mal de tete', 'céphalées', 'cephalalgie', 'cephalees (sf n02 n89 r09)', 'céphalée', 'céphalodynie', 'cephalees']	0.019
Q705906	céphalée	Q86	['C0018681']	['céphalgie', 'céphalalgie', 'douleur crânienne', 'douleur dans la tête', 'maux de tête', 'mal de tête', 'céphalée sai', 'gene dans la tete', 'mal de tete', 'céphalées', 'cephalalgie', 'cephalees (sf n02 n89 r09)', 'céphalée', 'céphalodynie', 'cephalees']	0.019
Q706845	céphalée	Q86	['C0018681']	['céphalgie', 'céphalalgie', 'douleur crânienne', 'douleur dans la tête', 'maux de tête', 'mal de tête', 'céphalée sai', 'gene dans la tete', 'mal de tete', 'céphalées', 'cephalalgie', 'cephalees (sf n02 n89 r09)', 'céphalée', 'céphalodynie', 'cephalees']	0.019
Q738292	céphalée	Q86	['C0018681']	['céphalgie', 'céphalalgie', 'douleur crânienne', 'douleur dans la tête', 'maux de tête', 'mal de tête', 'céphalée sai', 'gene dans la tete', 'mal de tete', 'céphalées', 'cephalalgie', 'cephalees (sf n02 n89 r09)', 'céphalée', 'céphalodynie', 'cephalees']	0.019
Q797668	céphalée	Q86	['C0018681']	['céphalgie', 'céphalalgie', 'douleur crânienne', 'douleur dans la tête', 'maux de tête', 'mal de tête', 'céphalée sai', 'gene dans la tete', 'mal de tete', 'céphalées', 'cephalalgie', 'cephalees (sf n02 n89 r09)', 'céphalée', 'céphalodynie', 'cephalees']	0.019
Q922927	céphalée	Q86	['C0018681']	['céphalgie', 'céphalalgie', 'douleur crânienne', 'douleur dans la tête', 'maux de tête', 'mal de tête', 'céphalée sai', 'gene dans la tete', 'mal de tete', 'céphalées', 'cephalalgie', 'cephalees (sf n02 n89 r09)', 'céphalée', 'céphalodynie', 'cephalees']	0.019
Q1022718	céphalée	Q86	['C0018681']	['céphalgie', 'céphalalgie', 'douleur crânienne', 'douleur dans la tête', 'maux de tête', 'mal de tête', 'céphalée sai', 'gene dans la tete', 'mal de tete', 'céphalées', 'cephalalgie', 'cephalees (sf n02 n89 r09)', 'céphalée', 'céphalodynie', 'cephalees']	0.019
Q1338684	céphalée	Q86	['C0018681']	['céphalgie', 'céphalalgie', 'douleur crânienne', 'douleur dans la tête', 'maux de tête', 'mal de tête', 'céphalée sai', 'gene dans la tete', 'mal de tete', 'céphalées', 'cephalalgie', 'cephalees (sf n02 n89 r09)', 'céphalée', 'céphalodynie', 'cephalees']	0.019
Q1345113	céphalée	Q86	['C0018681']	['céphalgie', 'céphalalgie', 'douleur crânienne', 'douleur dans la tête', 'maux de tête', 'mal de tête', 'céphalée sai', 'gene dans la tete', 'mal de tete', 'céphalées', 'cephalalgie', 'cephalees (sf n02 n89 r09)', 'céphalée', 'céphalodynie', 'cephalees']	0.019
Q1428132	céphalée	Q86	['C0018681']	['céphalgie', 'céphalalgie', 'douleur crânienne', 'douleur dans la tête', 'maux de tête', 'mal de tête', 'céphalée sai', 'gene dans la tete', 'mal de tete', 'céphalées', 'cephalalgie', 'cephalees (sf n02 n89 r09)', 'céphalée', 'céphalodynie', 'cephalees']	0.019
Q2583514	céphalée	Q86	['C0018681']	['céphalgie', 'céphalalgie', 'douleur crânienne', 'douleur dans la tête', 'maux de tête', 'mal de tête', 'céphalée sai', 'gene dans la tete', 'mal de tete', 'céphalées', 'cephalalgie', 'cephalees (sf n02 n89 r09)', 'céphalée', 'céphalodynie', 'cephalees']	0.019
Q2600216	céphalée	Q86	['C0018681']	['céphalgie', 'céphalalgie', 'douleur crânienne', 'douleur dans la tête', 'maux de tête', 'mal de tête', 'céphalée sai', 'gene dans la tete', 'mal de tete', 'céphalées', 'cephalalgie', 'cephalees (sf n02 n89 r09)', 'céphalée', 'céphalodynie', 'cephalees']	0.019
Q2845432	céphalée	Q86	['C0018681']	['céphalgie', 'céphalalgie', 'douleur crânienne', 'douleur dans la tête', 'maux de tête', 'mal de tête', 'céphalée sai', 'gene dans la tete', 'mal de tete', 'céphalées', 'cephalalgie', 'cephalees (sf n02 n89 r09)', 'céphalée', 'céphalodynie', 'cephalees']	0.019
Q3153686	céphalée	Q86	['C0018681']	['céphalgie', 'céphalalgie', 'douleur crânienne', 'douleur dans la tête', 'maux de tête', 'mal de tête', 'céphalée sai', 'gene dans la tete', 'mal de tete', 'céphalées', 'cephalalgie', 'cephalees (sf n02 n89 r09)', 'céphalée', 'céphalodynie', 'cephalees']	0.019
Q4463309	céphalée	Q86	['C0018681']	['céphalgie', 'céphalalgie', 'douleur crânienne', 'douleur dans la tête', 'maux de tête', 'mal de tête', 'céphalée sai', 'gene dans la tete', 'mal de tete', 'céphalées', 'cephalalgie', 'cephalees (sf n02 n89 r09)', 'céphalée', 'céphalodynie', 'cephalees']	0.019
Q5596834	céphalée	Q86	['C0018681']	['céphalgie', 'céphalalgie', 'douleur crânienne', 'douleur dans la tête', 'maux de tête', 'mal de tête', 'céphalée sai', 'gene dans la tete', 'mal de tete', 'céphalées', 'cephalalgie', 'cephalees (sf n02 n89 r09)', 'céphalée', 'céphalodynie', 'cephalees']	0.019
Q8071861	céphalée	Q86	['C0018681']	['céphalgie', 'céphalalgie', 'douleur crânienne', 'douleur dans la tête', 'maux de tête', 'mal de tête', 'céphalée sai', 'gene dans la tete', 'mal de tete', 'céphalées', 'cephalalgie', 'cephalees (sf n02 n89 r09)', 'céphalée', 'céphalodynie', 'cephalees']	0.019
Q11627066	céphalée	Q86	['C0018681']	['céphalgie', 'céphalalgie', 'douleur crânienne', 'douleur dans la tête', 'maux de tête', 'mal de tête', 'céphalée sai', 'gene dans la tete', 'mal de tete', 'céphalées', 'cephalalgie', 'cephalees (sf n02 n89 r09)', 'céphalée', 'céphalodynie', 'cephalees']	0.019
Q12656487	céphalée	Q86	['C0018681']	['céphalgie', 'céphalalgie', 'douleur crânienne', 'douleur dans la tête', 'maux de tête', 'mal de tête', 'céphalée sai', 'gene dans la tete', 'mal de tete', 'céphalées', 'cephalalgie', 'cephalees (sf n02 n89 r09)', 'céphalée', 'céphalodynie', 'cephalees']	0.019
Q18371582	céphalée	Q86	['C0018681']	['céphalgie', 'céphalalgie', 'douleur crânienne', 'douleur dans la tête', 'maux de tête', 'mal de tête', 'céphalée sai', 'gene dans la tete', 'mal de tete', 'céphalées', 'cephalalgie', 'cephalees (sf n02 n89 r09)', 'céphalée', 'céphalodynie', 'cephalees']	0.019
Q18553285	céphalée	Q86	['C0018681']	['céphalgie', 'céphalalgie', 'douleur crânienne', 'douleur dans la tête', 'maux de tête', 'mal de tête', 'céphalée sai', 'gene dans la tete', 'mal de tete', 'céphalées', 'cephalalgie', 'cephalees (sf n02 n89 r09)', 'céphalée', 'céphalodynie', 'cephalees']	0.019
Q18554460	céphalée	Q86	['C0018681']	['céphalgie', 'céphalalgie', 'douleur crânienne', 'douleur dans la tête', 'maux de tête', 'mal de tête', 'céphalée sai', 'gene dans la tete', 'mal de tete', 'céphalées', 'cephalalgie', 'cephalees (sf n02 n89 r09)', 'céphalée', 'céphalodynie', 'cephalees']	0.019
Q209733	ganglion lymphatique	Q170758	['C0024204']	['ganglion lymphatique', 'noeuds lymphatiques', 'noeud lymphatique', 'ganglions lymphatiques', 'lymphonoeuds', 'lymphonoeud']	1.0
Q156050	arthrite	Q170990	['C0003864']	['arthrite inflammatoire', 'inflammation articulaire', 'arthrite sai', 'arthrite', 'arthrosynovite']	0.2
Q201989	arthrite	Q170990	['C0003864']	['arthrite inflammatoire', 'inflammation articulaire', 'arthrite sai', 'arthrite', 'arthrosynovite']	0.2
Q911427	arthrite	Q170990	['C0003864']	['arthrite inflammatoire', 'inflammation articulaire', 'arthrite sai', 'arthrite', 'arthrosynovite']	0.2
Q1035319	arthrite	Q170990	['C0003864']	['arthrite inflammatoire', 'inflammation articulaire', 'arthrite sai', 'arthrite', 'arthrosynovite']	0.2
Q18553285	arthrite	Q170990	['C0003864']	['arthrite inflammatoire', 'inflammation articulaire', 'arthrite sai', 'arthrite', 'arthrosynovite']	0.2
Q326638	cécité	Q10874	['C0155020', 'C0271215', 'C0456909']	['cécité et vision faible', 'cécité légale', 'cécité sai', 'cécité', 'non-voyance', 'aveugle', 'cecite']	0.167
Q356372	cécité	Q10874	['C0155020', 'C0271215', 'C0456909']	['cécité et vision faible', 'cécité légale', 'cécité sai', 'cécité', 'non-voyance', 'aveugle', 'cecite']	0.167
Q1137321	cécité	Q10874	['C0155020', 'C0271215', 'C0456909']	['cécité et vision faible', 'cécité légale', 'cécité sai', 'cécité', 'non-voyance', 'aveugle', 'cecite']	0.167
Q1345113	cécité	Q10874	['C0155020', 'C0271215', 'C0456909']	['cécité et vision faible', 'cécité légale', 'cécité sai', 'cécité', 'non-voyance', 'aveugle', 'cecite']	0.167
Q1399182	cécité	Q10874	['C0155020', 'C0271215', 'C0456909']	['cécité et vision faible', 'cécité légale', 'cécité sai', 'cécité', 'non-voyance', 'aveugle', 'cecite']	0.167
Q2076966	cécité	Q10874	['C0155020', 'C0271215', 'C0456909']	['cécité et vision faible', 'cécité légale', 'cécité sai', 'cécité', 'non-voyance', 'aveugle', 'cecite']	0.167
Q6853	ictère	Q133244	['C0022346']	['ictère sai', 'ictere', 'ictère', 'jaunisse']	0.056
Q12156	ictère	Q133244	['C0022346']	['ictère sai', 'ictere', 'ictère', 'jaunisse']	0.056
Q117121	ictère	Q133244	['C0022346']	['ictère sai', 'ictere', 'ictère', 'jaunisse']	0.056
Q124604	ictère	Q133244	['C0022346']	['ictère sai', 'ictere', 'ictère', 'jaunisse']	0.056
Q131742	ictère	Q133244	['C0022346']	['ictère sai', 'ictere', 'ictère', 'jaunisse']	0.056
Q154869	ictère	Q133244	['C0022346']	['ictère sai', 'ictere', 'ictère', 'jaunisse']	0.056
Q154874	ictère	Q133244	['C0022346']	['ictère sai', 'ictere', 'ictère', 'jaunisse']	0.056
Q212961	ictère	Q133244	['C0022346']	['ictère sai', 'ictere', 'ictère', 'jaunisse']	0.056
Q326638	ictère	Q133244	['C0022346']	['ictère sai', 'ictere', 'ictère', 'jaunisse']	0.056
Q558404	ictère	Q133244	['C0022346']	['ictère sai', 'ictere', 'ictère', 'jaunisse']	0.056
Q574905	ictère	Q133244	['C0022346']	['ictère sai', 'ictere', 'ictère', 'jaunisse']	0.056
Q603644	ictère	Q133244	['C0022346']	['ictère sai', 'ictere', 'ictère', 'jaunisse']	0.056
Q623031	ictère	Q133244	['C0022346']	['ictère sai', 'ictere', 'ictère', 'jaunisse']	0.056
Q1148337	ictère	Q133244	['C0022346']	['ictère sai', 'ictere', 'ictère', 'jaunisse']	0.056
Q1359898	ictère	Q133244	['C0022346']	['ictère sai', 'ictere', 'ictère', 'jaunisse']	0.056
Q2076966	ictère	Q133244	['C0022346']	['ictère sai', 'ictere', 'ictère', 'jaunisse']	0.056
Q6972442	ictère	Q133244	['C0022346']	['ictère sai', 'ictere', 'ictère', 'jaunisse']	0.056
