CIS	CISLabel	IN	INlabel	drugUri
CIS64822161	RISORDAN 10 mg/10 ml, solution injectable (IV, intracoronaire) en ampoule	http://www.romedi.fr/romedi/INblomv15219hdbbp247vvcnr19htbqmpv	ISOSORBIDE	Q179748
CIS66327091	RISORDAN 20 mg, comprimé sécable	http://www.romedi.fr/romedi/INblomv15219hdbbp247vvcnr19htbqmpv	ISOSORBIDE	Q179748
CIS64766264	ISOSORBIDE MEDISOL 10 mg/10 mL, solution injectable	http://www.romedi.fr/romedi/INblomv15219hdbbp247vvcnr19htbqmpv	ISOSORBIDE	Q179748
CIS69131735	LANGORAN L.P. 20 mg, gélule à libération prolongée	http://www.romedi.fr/romedi/INblomv15219hdbbp247vvcnr19htbqmpv	ISOSORBIDE	Q179748
CIS62124478	TERALITHE 250 mg, comprimé sécable	http://www.romedi.fr/romedi/INnpirm85efusd79u08k6jg9dtjldr9r1t	LITHIUM	Q568
CIS63672890	LITHIUM OLIGOSOL, solution buvable en ampoule ou en récipient unidose	http://www.romedi.fr/romedi/INnpirm85efusd79u08k6jg9dtjldr9r1t	LITHIUM	Q568
CIS64598133	LITHIODERM 8 %, gel	http://www.romedi.fr/romedi/INnpirm85efusd79u08k6jg9dtjldr9r1t	LITHIUM	Q568
CIS67292476	TERALITHE LP 400 mg, comprimé sécable à libération prolongée	http://www.romedi.fr/romedi/INnpirm85efusd79u08k6jg9dtjldr9r1t	LITHIUM	Q568
CIS61001031	CERNEVIT, poudre pour solution injectable ou pour perfusion	http://www.romedi.fr/romedi/INhifbm2tdk6tmp3ihcmlben5qr3au3h7o	ACIDE FOLIQUE	Q127060
CIS64875192	TARDYFERON B9, comprimé pelliculé	http://www.romedi.fr/romedi/INhifbm2tdk6tmp3ihcmlben5qr3au3h7o	ACIDE FOLIQUE	Q127060
CIS63160388	BEROCCA, comprimé pelliculé	http://www.romedi.fr/romedi/INhifbm2tdk6tmp3ihcmlben5qr3au3h7o	ACIDE FOLIQUE	Q127060
CIS64732689	SPECIAFOLDINE 0,4 mg, comprimé	http://www.romedi.fr/romedi/INhifbm2tdk6tmp3ihcmlben5qr3au3h7o	ACIDE FOLIQUE	Q127060
CIS64987202	BEROCCA SANS SUCRE, comprimé effervescent édulcoré à l'aspartam et à l'acésulfame de potassium	http://www.romedi.fr/romedi/INhifbm2tdk6tmp3ihcmlben5qr3au3h7o	ACIDE FOLIQUE	Q127060
CIS69630186	SPECIAFOLDINE 5 mg, comprimé	http://www.romedi.fr/romedi/INhifbm2tdk6tmp3ihcmlben5qr3au3h7o	ACIDE FOLIQUE	Q127060
CIS67312509	SOLUVIT, lyophilisat pour usage parentéral	http://www.romedi.fr/romedi/INhifbm2tdk6tmp3ihcmlben5qr3au3h7o	ACIDE FOLIQUE	Q127060
CIS68502917	ACIDE FOLIQUE CCD 0,4 mg, comprimé	http://www.romedi.fr/romedi/INhifbm2tdk6tmp3ihcmlben5qr3au3h7o	ACIDE FOLIQUE	Q127060
CIS69448600	ACIDE FOLIQUE CCD 5 mg, comprimé	http://www.romedi.fr/romedi/INhifbm2tdk6tmp3ihcmlben5qr3au3h7o	ACIDE FOLIQUE	Q127060
CIS67320915	ACIDE FOLIQUE ARROW 5 mg, comprimé	http://www.romedi.fr/romedi/INhifbm2tdk6tmp3ihcmlben5qr3au3h7o	ACIDE FOLIQUE	Q127060
CIS66831230	FERTIFOL 400 microgrammes, comprimé	http://www.romedi.fr/romedi/INhifbm2tdk6tmp3ihcmlben5qr3au3h7o	ACIDE FOLIQUE	Q127060
CIS69661235	ACIDE FOLIQUE MYLAN 5 mg, comprimé	http://www.romedi.fr/romedi/INhifbm2tdk6tmp3ihcmlben5qr3au3h7o	ACIDE FOLIQUE	Q127060
CIS61517592	ARACYTINE 100 mg, poudre et solvant pour solution injectable	http://www.romedi.fr/romedi/INnfm9qge3k94lvfia14oip4sg62n62ebs	CYTARABINE	Q180983
CIS66523859	ARACYTINE 2 g, poudre pour solution pour perfusion (I.V.)	http://www.romedi.fr/romedi/INnfm9qge3k94lvfia14oip4sg62n62ebs	CYTARABINE	Q180983
CIS63318475	CYTARABINE ACCORD 100 mg/ml, solution injectable ou pour perfusion	http://www.romedi.fr/romedi/INnfm9qge3k94lvfia14oip4sg62n62ebs	CYTARABINE	Q180983
CIS69737206	ARACYTINE 500 mg, poudre pour solution pour perfusion	http://www.romedi.fr/romedi/INnfm9qge3k94lvfia14oip4sg62n62ebs	CYTARABINE	Q180983
CIS69493862	CYTARABINE EG 20 mg/ml, solution injectable	http://www.romedi.fr/romedi/INnfm9qge3k94lvfia14oip4sg62n62ebs	CYTARABINE	Q180983
CIS61687452	CHLORHYDRATE DE METHADONE ASSISTANCE PUBLIQUE-HÔPITAUX DE PARIS 20 mg/15 ml, sirop en récipient unidose	http://www.romedi.fr/romedi/INfrvh67kbct6phsvjtr2u6tidsia0gv6q	MÉTHADONE	Q179996
CIS61144346	CHLORHYDRATE DE METHADONE ASSISTANCE PUBLIQUE-HOPITAUX DE PARIS 5 mg/3,75 ml, sirop en récipient unidose	http://www.romedi.fr/romedi/INfrvh67kbct6phsvjtr2u6tidsia0gv6q	MÉTHADONE	Q179996
CIS61610484	CHLORHYDRATE DE METHADONE ASSISTANCE PUBLIQUE - HOPITAUX DE PARIS 60 mg/15 ml, sirop en récipient unidose	http://www.romedi.fr/romedi/INfrvh67kbct6phsvjtr2u6tidsia0gv6q	MÉTHADONE	Q179996
CIS63644827	CHLORHYDRATE DE METHADONE ASSISTANCE PUBLIQUE - HOPITAUX DE PARIS 40 mg/15 ml, sirop en récipient unidose	http://www.romedi.fr/romedi/INfrvh67kbct6phsvjtr2u6tidsia0gv6q	MÉTHADONE	Q179996
CIS60998856	METHADONE AP-HP 10 mg, gélule	http://www.romedi.fr/romedi/INfrvh67kbct6phsvjtr2u6tidsia0gv6q	MÉTHADONE	Q179996
CIS63009443	METHADONE AP-HP 20 mg, gélule	http://www.romedi.fr/romedi/INfrvh67kbct6phsvjtr2u6tidsia0gv6q	MÉTHADONE	Q179996
CIS65738008	METHADONE AP-HP 40 mg, gélule	http://www.romedi.fr/romedi/INfrvh67kbct6phsvjtr2u6tidsia0gv6q	MÉTHADONE	Q179996
CIS68874401	CHLORHYDRATE DE METHADONE ASSISTANCE PUBLIQUE-HÔPITAUX DE PARIS 10 mg/7,5 ml, sirop en récipient unidose	http://www.romedi.fr/romedi/INfrvh67kbct6phsvjtr2u6tidsia0gv6q	MÉTHADONE	Q179996
CIS67255773	METHADONE AP-HP 1,33 mg/ml, sirop	http://www.romedi.fr/romedi/INfrvh67kbct6phsvjtr2u6tidsia0gv6q	MÉTHADONE	Q179996
CIS67296909	METHADONE AP-HP 1 mg, gélule	http://www.romedi.fr/romedi/INfrvh67kbct6phsvjtr2u6tidsia0gv6q	MÉTHADONE	Q179996
CIS68726979	METHADONE AP-HP 5 mg, gélule	http://www.romedi.fr/romedi/INfrvh67kbct6phsvjtr2u6tidsia0gv6q	MÉTHADONE	Q179996
CIS62311321	ZECLAR 50 mg/ml, granulés pour suspension buvable	http://www.romedi.fr/romedi/INg15bb7o96tr0jv187b7lvu5gfhehtddi	CLARITHROMYCINE	Q118551
CIS63671347	ZECLAR 250 mg, comprimé pelliculé	http://www.romedi.fr/romedi/INg15bb7o96tr0jv187b7lvu5gfhehtddi	CLARITHROMYCINE	Q118551
CIS62901197	ZECLAR 25 mg/ml, granulés pour suspension buvable	http://www.romedi.fr/romedi/INg15bb7o96tr0jv187b7lvu5gfhehtddi	CLARITHROMYCINE	Q118551
CIS64635578	CLARITHROMYCINE BIPHAR 500 mg, comprimé pelliculé	http://www.romedi.fr/romedi/INg15bb7o96tr0jv187b7lvu5gfhehtddi	CLARITHROMYCINE	Q118551
CIS61433564	ZECLAR 0,5 g, poudre pour solution pour perfusion	http://www.romedi.fr/romedi/INg15bb7o96tr0jv187b7lvu5gfhehtddi	CLARITHROMYCINE	Q118551
CIS60814021	CLARITHROMYCINE ARROW 500 mg, comprimé pelliculé	http://www.romedi.fr/romedi/INg15bb7o96tr0jv187b7lvu5gfhehtddi	CLARITHROMYCINE	Q118551
CIS61594165	CLARITHROMYCINE MYLAN 50 mg/ml, granulés pour suspension buvable	http://www.romedi.fr/romedi/INg15bb7o96tr0jv187b7lvu5gfhehtddi	CLARITHROMYCINE	Q118551
CIS61904023	CLARITHROMYCINE MYLAN 500 mg, comprimé pelliculé	http://www.romedi.fr/romedi/INg15bb7o96tr0jv187b7lvu5gfhehtddi	CLARITHROMYCINE	Q118551
CIS65040811	CLARITHROMYCINE ARROW 50 mg/ml, granulés pour suspension buvable	http://www.romedi.fr/romedi/INg15bb7o96tr0jv187b7lvu5gfhehtddi	CLARITHROMYCINE	Q118551
CIS65326798	CLARITHROMYCINE SANDOZ 50 mg/ml, granulés pour suspension buvable	http://www.romedi.fr/romedi/INg15bb7o96tr0jv187b7lvu5gfhehtddi	CLARITHROMYCINE	Q118551
CIS65576684	CLARITHROMYCINE SANDOZ 500 mg, comprimé pelliculé	http://www.romedi.fr/romedi/INg15bb7o96tr0jv187b7lvu5gfhehtddi	CLARITHROMYCINE	Q118551
CIS65880178	CLARITHROMYCINE MYLAN 25 mg/ml, granulés pour suspension buvable	http://www.romedi.fr/romedi/INg15bb7o96tr0jv187b7lvu5gfhehtddi	CLARITHROMYCINE	Q118551
CIS65133607	CLARITHROMYCINE BIPHAR 25 mg/ml, granulés pour suspension buvable	http://www.romedi.fr/romedi/INg15bb7o96tr0jv187b7lvu5gfhehtddi	CLARITHROMYCINE	Q118551
CIS67997205	ZECLAR 500 mg, comprimé pelliculé	http://www.romedi.fr/romedi/INg15bb7o96tr0jv187b7lvu5gfhehtddi	CLARITHROMYCINE	Q118551
CIS66840375	MONOZECLAR 500 mg, comprimé pelliculé à libération modifiée	http://www.romedi.fr/romedi/INg15bb7o96tr0jv187b7lvu5gfhehtddi	CLARITHROMYCINE	Q118551
CIS69837295	CLARITHROMYCINE MYLAN PHARMA 500 mg, comprimé pelliculé à libération modifiée	http://www.romedi.fr/romedi/INg15bb7o96tr0jv187b7lvu5gfhehtddi	CLARITHROMYCINE	Q118551
CIS67197409	CLARITHROMYCINE MYLAN 250 mg, comprimé pelliculé	http://www.romedi.fr/romedi/INg15bb7o96tr0jv187b7lvu5gfhehtddi	CLARITHROMYCINE	Q118551
CIS68129222	CLARITHROMYCINE SANDOZ 25 mg/ml, granulés pour suspension buvable	http://www.romedi.fr/romedi/INg15bb7o96tr0jv187b7lvu5gfhehtddi	CLARITHROMYCINE	Q118551
CIS68879206	CLARITHROMYCINE ARROW 250 mg, comprimé pelliculé	http://www.romedi.fr/romedi/INg15bb7o96tr0jv187b7lvu5gfhehtddi	CLARITHROMYCINE	Q118551
CIS69468962	CLARITHROMYCINE SANDOZ 250 mg, comprimé pelliculé	http://www.romedi.fr/romedi/INg15bb7o96tr0jv187b7lvu5gfhehtddi	CLARITHROMYCINE	Q118551
CIS69340610	CLARITHROMYCINE MYLAN PHARMA 250 mg, comprimé pelliculé	http://www.romedi.fr/romedi/INg15bb7o96tr0jv187b7lvu5gfhehtddi	CLARITHROMYCINE	Q118551
CIS69875082	CLARITHROMYCINE ARROW 25 mg/ml, granulés pour suspension buvable	http://www.romedi.fr/romedi/INg15bb7o96tr0jv187b7lvu5gfhehtddi	CLARITHROMYCINE	Q118551
CIS61752409	RAPAMUNE 1 mg/ml, solution buvable	http://www.romedi.fr/romedi/IN2ck4sd84bb5nfqu0a0fen19iqjks8cjc	SIROLIMUS	Q32089
CIS64597615	RAPAMUNE 1 mg, comprimé enrobé	http://www.romedi.fr/romedi/IN2ck4sd84bb5nfqu0a0fen19iqjks8cjc	SIROLIMUS	Q32089
CIS65164182	RAPAMUNE 2 mg, comprimé enrobé	http://www.romedi.fr/romedi/IN2ck4sd84bb5nfqu0a0fen19iqjks8cjc	SIROLIMUS	Q32089
CIS69171174	RAPAMUNE 0,5 mg, comprimé enrobé	http://www.romedi.fr/romedi/IN2ck4sd84bb5nfqu0a0fen19iqjks8cjc	SIROLIMUS	Q32089
CIS60705552	OROKEN NOURRISSONS 40 mg/5 ml, poudre pour suspension buvable en flacon	http://www.romedi.fr/romedi/INh2p5fvpqmh8oeghpcg2ktld86pq4sef1	CÉFIXIME	Q163901
CIS60762126	CEFIXIME ZENTIVA 200 mg, comprimé pelliculé	http://www.romedi.fr/romedi/INh2p5fvpqmh8oeghpcg2ktld86pq4sef1	CÉFIXIME	Q163901
CIS63309743	CEFIXIME BIOGARAN 200 mg, comprimé pelliculé	http://www.romedi.fr/romedi/INh2p5fvpqmh8oeghpcg2ktld86pq4sef1	CÉFIXIME	Q163901
CIS64821860	CEFIXIME ALMUS 200 mg, comprimé pelliculé	http://www.romedi.fr/romedi/INh2p5fvpqmh8oeghpcg2ktld86pq4sef1	CÉFIXIME	Q163901
CIS60237790	CEFIXIME ARROW 200 mg, comprimé pelliculé	http://www.romedi.fr/romedi/INh2p5fvpqmh8oeghpcg2ktld86pq4sef1	CÉFIXIME	Q163901
CIS62217516	CEFIXIME MYLAN PHARMA 200 mg, comprimé pelliculé	http://www.romedi.fr/romedi/INh2p5fvpqmh8oeghpcg2ktld86pq4sef1	CÉFIXIME	Q163901
CIS67393849	OROKEN 200 mg, comprimé pelliculé	http://www.romedi.fr/romedi/INh2p5fvpqmh8oeghpcg2ktld86pq4sef1	CÉFIXIME	Q163901
CIS66907450	OROKEN ENFANTS 100 mg/5 ml, poudre pour suspension buvable en flacon	http://www.romedi.fr/romedi/INh2p5fvpqmh8oeghpcg2ktld86pq4sef1	CÉFIXIME	Q163901
CIS69038035	CEFIXIME MYLAN 200 mg, comprimé pelliculé	http://www.romedi.fr/romedi/INh2p5fvpqmh8oeghpcg2ktld86pq4sef1	CÉFIXIME	Q163901
CIS69100387	CEFIXIME EG 200 mg, comprimé pelliculé	http://www.romedi.fr/romedi/INh2p5fvpqmh8oeghpcg2ktld86pq4sef1	CÉFIXIME	Q163901
CIS69995637	CEFIXIME TEVA 200 mg, comprimé pelliculé	http://www.romedi.fr/romedi/INh2p5fvpqmh8oeghpcg2ktld86pq4sef1	CÉFIXIME	Q163901
CIS67490967	CEFIXIME ARROW LAB 200 mg, comprimé pelliculé	http://www.romedi.fr/romedi/INh2p5fvpqmh8oeghpcg2ktld86pq4sef1	CÉFIXIME	Q163901
CIS68809147	CEFIXIME CRISTERS 200 mg, comprimé pelliculé	http://www.romedi.fr/romedi/INh2p5fvpqmh8oeghpcg2ktld86pq4sef1	CÉFIXIME	Q163901
CIS60420681	PERIKABIVEN, émulsion pour perfusion	http://www.romedi.fr/romedi/INbo5tu013582gugcs7jsnsvijvg97821h	ACIDE ACÉTIQUE	Q47512
CIS60447372	OLICLINOMEL N 6-900 E, émulsion pour perfusion	http://www.romedi.fr/romedi/INbo5tu013582gugcs7jsnsvijvg97821h	ACIDE ACÉTIQUE	Q47512
CIS61117445	CLINIMIX N9 G15 E, solution pour perfusion en poche bicompartiment	http://www.romedi.fr/romedi/INbo5tu013582gugcs7jsnsvijvg97821h	ACIDE ACÉTIQUE	Q47512
CIS61684869	PERIOLIMEL N4E, émulsion pour perfusion	http://www.romedi.fr/romedi/INbo5tu013582gugcs7jsnsvijvg97821h	ACIDE ACÉTIQUE	Q47512
CIS62201138	OLIMEL N7E, émulsion pour perfusion	http://www.romedi.fr/romedi/INbo5tu013582gugcs7jsnsvijvg97821h	ACIDE ACÉTIQUE	Q47512
CIS61786735	AMINOMIX 500, solution pour perfusion	http://www.romedi.fr/romedi/INbo5tu013582gugcs7jsnsvijvg97821h	ACIDE ACÉTIQUE	Q47512
CIS63337059	KABIVEN, émulsion pour perfusion	http://www.romedi.fr/romedi/INbo5tu013582gugcs7jsnsvijvg97821h	ACIDE ACÉTIQUE	Q47512
CIS65418143	MEDNUTRIFLEX LIPIDE G 120/N 5,4/E, émulsion pour perfusion	http://www.romedi.fr/romedi/INbo5tu013582gugcs7jsnsvijvg97821h	ACIDE ACÉTIQUE	Q47512
CIS66286011	AMINOMIX 500 E, solution pour perfusion	http://www.romedi.fr/romedi/INbo5tu013582gugcs7jsnsvijvg97821h	ACIDE ACÉTIQUE	Q47512
CIS66067708	AMINOMIX 800 E, solution pour perfusion	http://www.romedi.fr/romedi/INbo5tu013582gugcs7jsnsvijvg97821h	ACIDE ACÉTIQUE	Q47512
CIS66032721	OLIMEL N9E, émulsion pour perfusion	http://www.romedi.fr/romedi/INbo5tu013582gugcs7jsnsvijvg97821h	ACIDE ACÉTIQUE	Q47512
CIS62217480	REANUTRIFLEX OMEGA G 144/N 8/E, émulsion pour perfusion	http://www.romedi.fr/romedi/INbo5tu013582gugcs7jsnsvijvg97821h	ACIDE ACÉTIQUE	Q47512
CIS62427265	SMOFKABIVEN E, émulsion pour perfusion	http://www.romedi.fr/romedi/INbo5tu013582gugcs7jsnsvijvg97821h	ACIDE ACÉTIQUE	Q47512
CIS63163224	PEDIAVEN AP-HP NOUVEAU-NE 2, solution pour perfusion	http://www.romedi.fr/romedi/INbo5tu013582gugcs7jsnsvijvg97821h	ACIDE ACÉTIQUE	Q47512
CIS64115983	PEDIAVEN AP-HP NOUVEAU-NE 1, solution pour perfusion	http://www.romedi.fr/romedi/INbo5tu013582gugcs7jsnsvijvg97821h	ACIDE ACÉTIQUE	Q47512
CIS64875819	NUMETAH G19%E, émulsion pour perfusion	http://www.romedi.fr/romedi/INbo5tu013582gugcs7jsnsvijvg97821h	ACIDE ACÉTIQUE	Q47512
CIS66490117	NUMETAH G13% E PREMATURES, émulsion pour perfusion	http://www.romedi.fr/romedi/INbo5tu013582gugcs7jsnsvijvg97821h	ACIDE ACÉTIQUE	Q47512
CIS67596034	OLICLINOMEL N 4-550 E, émulsion pour perfusion	http://www.romedi.fr/romedi/INbo5tu013582gugcs7jsnsvijvg97821h	ACIDE ACÉTIQUE	Q47512
CIS68868590	OLICLINOMEL N7-1000 E, émulsion pour perfusion	http://www.romedi.fr/romedi/INbo5tu013582gugcs7jsnsvijvg97821h	ACIDE ACÉTIQUE	Q47512
CIS67678175	PEDIAVEN AP-HP G20, solution pour perfusion	http://www.romedi.fr/romedi/INbo5tu013582gugcs7jsnsvijvg97821h	ACIDE ACÉTIQUE	Q47512
CIS68074594	PERINUTRIFLEX LIPIDE G 64/N 4,6/E, émulsion pour perfusion	http://www.romedi.fr/romedi/INbo5tu013582gugcs7jsnsvijvg97821h	ACIDE ACÉTIQUE	Q47512
CIS68575185	PEDIAVEN AP-HP G15, solution pour perfusion	http://www.romedi.fr/romedi/INbo5tu013582gugcs7jsnsvijvg97821h	ACIDE ACÉTIQUE	Q47512
CIS68861083	REANUTRIFLEX LIPIDE G 144/N 8/E, émulsion pour perfusion	http://www.romedi.fr/romedi/INbo5tu013582gugcs7jsnsvijvg97821h	ACIDE ACÉTIQUE	Q47512
CIS69040082	MEDNUTRIFLEX OMEGA G 120/N 5,4/E, émulsion pour perfusion	http://www.romedi.fr/romedi/INbo5tu013582gugcs7jsnsvijvg97821h	ACIDE ACÉTIQUE	Q47512
CIS69278991	NUMETAH G16%E, émulsion pour perfusion	http://www.romedi.fr/romedi/INbo5tu013582gugcs7jsnsvijvg97821h	ACIDE ACÉTIQUE	Q47512
CIS61072758	ADRENALINE AGUETTANT 1 mg/ml, solution injectable en ampoule	http://www.romedi.fr/romedi/INd446qb5ejdsjnhg5qg9qvm3m5alf03o3	ADRÉNALINE	Q132621
CIS61459178	XYLOCAINE 20 mg/ml ADRENALINE 0,005 mg/ml, solution injectable	http://www.romedi.fr/romedi/INd446qb5ejdsjnhg5qg9qvm3m5alf03o3	ADRÉNALINE	Q132621
CIS60484221	SEPTANEST 40 mg/ml ADRENALINEE AU 1/100 000, solution injectable à usage dentaire	http://www.romedi.fr/romedi/INd446qb5ejdsjnhg5qg9qvm3m5alf03o3	ADRÉNALINE	Q132621
CIS62031508	ANAPEN 150 microgrammes/0,3 ml, solution injectable en seringue préremplie	http://www.romedi.fr/romedi/INd446qb5ejdsjnhg5qg9qvm3m5alf03o3	ADRÉNALINE	Q132621
CIS62538162	ANAPEN 300 microgrammes/0,3 ml, solution injectable en seringue préremplie	http://www.romedi.fr/romedi/INd446qb5ejdsjnhg5qg9qvm3m5alf03o3	ADRÉNALINE	Q132621
CIS60197246	ADRENALINE RENAUDIN 1 mg/ml, solution injectable	http://www.romedi.fr/romedi/INd446qb5ejdsjnhg5qg9qvm3m5alf03o3	ADRÉNALINE	Q132621
CIS65551161	LIDOCAINE 20 mg/mL ADRENALINE 0,0125 mg/mL AGUETTANT, solution injectable	http://www.romedi.fr/romedi/INd446qb5ejdsjnhg5qg9qvm3m5alf03o3	ADRÉNALINE	Q132621
CIS60533348	LIDOCAÏNE 20 mg/ml ADRENALINE 0,005 mg/ml AGUETTANT, solution injectable	http://www.romedi.fr/romedi/INd446qb5ejdsjnhg5qg9qvm3m5alf03o3	ADRÉNALINE	Q132621
CIS61846627	EPIPEN 0,15 mg/0,3 ml, solution injectable en stylo pré-rempli	http://www.romedi.fr/romedi/INd446qb5ejdsjnhg5qg9qvm3m5alf03o3	ADRÉNALINE	Q132621
CIS62227058	LIDOCAÏNE 10 mg/ml ADRENALINE 0,005 mg/ml AGUETTANT, solution injectable	http://www.romedi.fr/romedi/INd446qb5ejdsjnhg5qg9qvm3m5alf03o3	ADRÉNALINE	Q132621
CIS68649778	XYLOCAINE 10 mg/ml ADRENALINE 0,005 mg/ml, solution injectable	http://www.romedi.fr/romedi/INd446qb5ejdsjnhg5qg9qvm3m5alf03o3	ADRÉNALINE	Q132621
CIS69556177	ADRENALINE RENAUDIN 0,50 mg/ml, solution injectable	http://www.romedi.fr/romedi/INd446qb5ejdsjnhg5qg9qvm3m5alf03o3	ADRÉNALINE	Q132621
CIS69553494	ADRENALINE RENAUDIN 1 mg/ml, solution injectable en ampoule	http://www.romedi.fr/romedi/INd446qb5ejdsjnhg5qg9qvm3m5alf03o3	ADRÉNALINE	Q132621
CIS69325747	ADRENALINE RENAUDIN 0,25 mg/ml, solution injectable en ampoule	http://www.romedi.fr/romedi/INd446qb5ejdsjnhg5qg9qvm3m5alf03o3	ADRÉNALINE	Q132621
